Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"25,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,826,"1,545","2,879","5,015","7,988","11,475","15,090","18,551","21,814","25,233","28,128","31,241","33,704","35,466","37,230","38,795","40,496","42,218","43,202","44,228","45,249","46,389","47,617","48,027","48,504","49,519","50,021","50,530","50,800","51,370","51,964","52,345","52,274","51,539","51,459","51,648","51,416","50,928","50,227","48,910","47,551","45,585","43,379","40,856","37,376","34,181","30,534","26,387","22,775","19,645","17,029","14,363","12,217","10,929","9,673","8,486","7,277","6,244","5,648","4,940","4,275","3,729","3,253","2,839","2,445","2,421","1,836","1,843","1,684","1,297","1,144","1,292","1,209","1,133","1,063",
Earnings,"21,999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,750,"1,436","2,723","4,791","7,667","11,029","14,483","17,716","20,648","23,765","26,451","29,107","31,172","32,544","33,923","35,221","36,638","37,826","38,650","39,514","40,229","40,924","41,722","41,860","42,203","42,829","43,216","43,735","43,918","44,158","44,701","44,935","44,947","44,339","44,227","44,241","43,880","43,124","42,216","40,936","39,718","38,006","36,008","33,754","30,579","27,580","24,273","20,897","17,642","15,137","12,979","10,870","9,069","8,052","7,101","6,169","5,322","4,571","4,168","3,678","3,199","2,811","2,470","2,170","1,889","1,958","1,410","1,418","1,313",973,858,"1,045",994,945,898,
Self-employment Labor Income,"3,338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,76,109,156,224,321,447,607,835,"1,166","1,468","1,677","2,133","2,532","2,922","3,307","3,573","3,858","4,392","4,552","4,714","5,021","5,465","5,895","6,168","6,301","6,689","6,804","6,796","6,882","7,212","7,263","7,410","7,327","7,201","7,232","7,407","7,536","7,804","8,011","7,974","7,833","7,578","7,372","7,102","6,797","6,601","6,262","5,490","5,132","4,508","4,050","3,493","3,148","2,877","2,573","2,316","1,955","1,673","1,480","1,262","1,077",919,784,668,556,463,426,425,371,324,286,247,216,188,165,
Reallocations,"6,040","15,176","13,859","12,785","13,422","13,863","21,111","22,425","22,968","23,362","24,059","25,240","25,901","27,025","27,586","28,295","28,527","28,939","27,966","26,243","23,316","19,851","16,269","11,577","8,158","5,226","1,602",-638,"-3,234","-5,370","-6,627","-8,189","-9,189","-10,240","-11,311","-11,985","-13,084","-14,467","-15,575","-16,403","-16,666","-17,038","-17,844","-18,221","-18,772","-18,748","-18,810","-18,820","-18,435","-17,721","-16,230","-15,772","-15,641","-15,060","-13,937","-12,325","-10,406","-8,213","-5,452","-3,146",-597,"3,319","6,958","10,669","15,343","19,732","21,980","24,815","26,601","29,114","30,544","32,220","33,932","35,250","36,748","37,314","37,921","38,273","38,561","38,749","38,840","39,431","39,854","40,992","40,567","41,406","41,872","43,553","44,173","47,212","49,150","60,106",
Transfers,-281,"15,174","13,822","12,902","13,457","13,851","21,026","22,281","22,792","23,197","23,919","25,182","25,895","26,855","27,362","27,886","28,222","30,020","28,225","23,538","18,802","16,048","12,484","8,476","5,169","2,405",-657,"-3,278","-5,565","-7,223","-8,814","-9,991","-11,053","-12,378","-13,770","-15,145","-16,447","-18,066","-18,546","-19,638","-20,348","-21,042","-21,297","-21,705","-21,991","-22,168","-22,271","-22,638","-22,621","-22,649","-22,261","-22,000","-21,258","-20,882","-20,341","-19,630","-18,833","-17,554","-16,176","-14,812","-13,333","-11,561","-9,869","-5,394","-2,559",-482,"3,905","7,728","6,834","7,798","8,051","8,339","9,120","9,125","9,535","9,097","9,561","10,076","10,236","10,754","11,050","11,016","11,603","12,667","12,762","13,471","14,920","16,690","18,756","21,236","23,301","29,825",
Public Transfers,-106,"6,133","5,447","4,695","4,424","4,291","11,035","12,116","12,183","12,247","12,272","12,270","12,279","12,223","12,147","12,084","11,873","11,587","11,099","7,721","6,285","5,373","4,347","2,941","1,468",81,"-1,251","-2,386","-3,395","-4,345","-5,090","-5,744","-6,407","-7,123","-7,693","-8,350","-9,002","-9,944","-10,158","-10,136","-10,198","-10,296","-10,388","-10,741","-11,190","-11,520","-11,757","-11,949","-12,029","-12,180","-12,145","-12,209","-12,349","-12,408","-12,457","-12,277","-12,014","-11,324","-10,653","-10,007","-9,141","-7,953","-6,777","-2,722",-358,"1,157","5,308","8,956","7,979","9,150","9,620","10,089","11,135","11,479","12,210","12,132","12,829","13,420","13,650","14,228","14,748","15,056","15,917","17,062","17,159","17,743","19,023","20,804","23,122","25,864","28,141","34,691",
"Public Transfers, Inflows","10,556","6,675","6,020","5,302","5,066","4,971","11,757","12,881","12,994","13,106","13,184","13,240","13,309","13,322","13,314","13,315","13,370","13,222","12,946","9,915","9,004","8,799","8,624","8,160","7,709","7,389","7,148","7,057","6,958","6,818","6,780","6,795","6,772","6,707","6,756","6,701","6,570","6,082","6,213","6,514","6,630","6,731","6,885","6,844","6,717","6,751","6,841","6,917","7,085","7,141","7,378","7,478","7,515","7,601","7,756","8,018","8,268","8,755","9,017","8,986","9,077","9,421","9,640","12,726","14,189","14,920","18,363","21,417","19,970","20,760","20,885","21,089","21,947","22,133","22,731","22,538","23,103","23,544","23,615","24,039","24,419","24,636","25,347","26,361","26,220","26,634","27,607","29,073","30,983","33,297","35,119","41,270",
"Public Transfers, Outflows","10,662",542,573,607,642,680,722,766,811,859,912,970,"1,030","1,099","1,167","1,231","1,497","1,635","1,847","2,193","2,719","3,426","4,277","5,219","6,241","7,308","8,399","9,443","10,353","11,163","11,870","12,539","13,179","13,831","14,449","15,051","15,572","16,025","16,371","16,651","16,828","17,027","17,273","17,585","17,908","18,271","18,598","18,866","19,114","19,321","19,523","19,687","19,864","20,008","20,213","20,295","20,282","20,079","19,670","18,993","18,218","17,374","16,417","15,448","14,547","13,763","13,055","12,461","11,992","11,610","11,265","10,999","10,812","10,654","10,521","10,406","10,273","10,124","9,964","9,812","9,672","9,580","9,430","9,299","9,060","8,891","8,585","8,269","7,860","7,433","6,979","6,579",
"Public Transfers, Education",1,0,0,0,0,0,"6,788","7,918","7,991","8,011","8,027","8,037","8,047","8,040","8,033","8,021","7,952","7,755","7,348","4,531","3,458","2,912","2,470","1,890","1,292",912,575,313,61,-174,-423,-694,-901,"-1,110","-1,309","-1,532","-1,747","-2,421","-2,580","-2,728","-2,771","-2,809","-2,826","-2,895","-2,955","-3,029","-3,078","-3,136","-3,189","-3,246","-3,314","-3,379","-3,418","-3,448","-3,482","-3,524","-3,562","-3,601","-3,590","-3,548","-3,494","-3,438","-3,354","-3,270","-3,181","-3,080","-2,995","-2,956","-2,967","-3,004","-3,055","-3,149","-3,236","-3,324","-3,413","-3,502","-3,537","-3,546","-3,536","-3,518","-3,500","-3,466","-3,435","-3,406","-3,376","-3,346","-3,319","-3,292","-3,266","-3,241","-3,216","-3,191",
"Public Transfers, Education, Inflows","1,814",0,0,0,0,0,"6,788","7,918","7,991","8,011","8,027","8,037","8,047","8,040","8,033","8,021","7,960","7,771","7,383","4,597","3,564","3,061","2,673","2,145","1,626","1,344","1,124",985,876,800,719,646,601,564,510,485,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
