Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"14,008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,588,"2,266","3,974","6,077","8,235","10,451","12,531","14,272","15,764","16,844","17,573","18,245","18,891","19,210","19,700","20,443","21,066","22,153","22,985","23,947","24,604","25,636","26,332","27,032","27,716","28,972","29,502","30,099","30,948","31,604","31,504","31,145","30,834","30,299","29,786","29,420","29,430","28,757","28,016","27,006","24,526","21,704","18,619","15,396","12,059","9,601","7,889","6,600","5,412","4,465","3,863","3,401","3,413","3,108","2,884","2,839","2,525","2,035","1,861","1,566","1,158","1,010",814,702,749,746,589,480,332,162,77,80,83,
Earnings,"13,318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,575,"2,260","3,953","6,040","8,176","10,328","12,382","14,085","15,549","16,608","17,341","17,938","18,559","18,832","19,257","19,904","20,488","21,506","22,315","23,223","23,909","24,905","25,554","26,143","26,761","27,854","28,331","28,862","29,616","30,231","30,118","29,736","29,327","28,801","28,214","27,822","27,709","27,027","26,267","25,284","22,879","20,122","17,139","14,026","10,790","8,400","6,828","5,619","4,469","3,610","3,081","2,551","2,619","2,318","2,120","2,100","1,921","1,445","1,345","1,109",767,696,545,476,522,545,420,375,275,147,77,80,83,
Self-employment Labor Income,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,21,37,59,122,148,186,215,235,232,307,332,379,443,540,577,647,670,724,695,732,779,890,955,"1,118","1,171","1,237","1,332","1,372","1,386","1,409","1,507","1,497","1,572","1,598","1,721","1,730","1,749","1,722","1,647","1,582","1,480","1,369","1,269","1,201","1,061",981,943,854,782,851,794,790,763,740,604,591,516,457,392,314,269,227,228,201,169,105,57,14,0,0,0,
Reallocations,"3,566","9,543","7,897","8,082","8,822","9,642","9,859","15,075","14,682","14,857","15,426","15,738","16,359","17,293","18,006","18,793","19,113","19,233","20,617","17,009","15,517","13,778","12,094","7,820","4,998","2,539","1,168",-90,"-1,084","-1,849","-2,416","-3,182","-3,475","-3,805","-4,473","-5,183","-6,236","-7,171","-8,385","-8,949","-10,032","-10,795","-11,573","-12,313","-13,638","-14,071","-14,414","-15,139","-15,521","-15,325","-14,823","-14,407","-13,441","-12,672","-11,813","-11,280","-10,166","-9,038","-7,633","-4,923","-1,802","1,533","4,905","8,405","11,120","12,856","14,138","15,520","16,492","17,241","17,831","18,043","18,288","18,793","18,835","19,337","19,993","20,344","20,772","21,275","21,418","21,653","21,691","21,937","22,464","22,843","23,247","23,717","25,048","25,739","26,346","26,953",
Transfers,-33,"9,407","7,765","7,948","8,696","9,519","9,724","14,928","14,526","14,693","15,253","15,554","16,168","17,095","17,794","18,567","18,849","18,998","20,341","16,735","15,070","13,135","11,338","6,749","3,681",938,-782,"-2,078","-3,154","-3,863","-4,541","-5,195","-5,705","-6,317","-7,100","-7,786","-8,724","-9,528","-10,408","-11,092","-12,041","-12,871","-13,535","-14,183","-15,219","-15,699","-16,216","-17,163","-17,818","-17,864","-17,707","-17,447","-16,573","-15,870","-15,443","-14,689","-13,659","-12,850","-12,188","-9,876","-8,018","-5,897","-3,130",-405,"1,534","3,176","4,085","5,068","6,155","6,894","7,575","8,227","8,927","9,499","10,071","10,718","11,265","11,516","12,139","12,911","13,204","14,171","14,935","16,319","17,401","18,399","19,318","20,426","22,012","23,078","24,420","25,762",
Public Transfers,-30,"3,922","3,007","3,007","3,291","3,802","3,941","9,437","9,368","9,210","9,294","8,947","9,039","9,549","9,440","9,357","8,647","8,288","7,936","3,722","2,889","1,816","1,225",-795,"-1,615","-2,870","-3,551","-4,033","-4,581","-4,879","-5,074","-5,192","-5,268","-5,454","-5,663","-5,840","-6,224","-6,503","-6,715","-6,977","-7,375","-7,541","-7,691","-7,870","-8,217","-8,419","-8,726","-9,126","-9,555","-9,552","-9,462","-9,415","-9,389","-9,183","-9,339","-9,438","-9,224","-9,050","-8,975","-7,427","-5,613","-3,682","-1,065","1,450","3,380","5,013","6,023","7,002","8,160","8,900","9,434","9,873","10,378","10,864","11,284","11,522","11,770","11,881","11,935","12,254","12,348","12,639","12,871","13,656","14,247","14,735","15,146","15,464","16,320","16,972","17,660","18,347",
"Public Transfers, Inflows","7,787","4,791","3,855","3,871","4,113","4,609","4,813","10,387","10,374","10,266","10,406","10,125","10,264","10,816","10,795","10,794","10,186","9,888","9,625","5,665","5,497","5,036","5,237","4,034","4,059","3,596","3,616","3,701","3,562","3,523","3,536","3,547","3,558","3,573","3,591","3,607","3,627","3,656","3,673","3,690","3,706","3,753","3,762","3,778","3,818","3,860","3,894","3,934","3,980","4,053","4,124","4,203","4,275","4,351","4,435","4,519","4,607","4,734","4,818","5,354","6,282","7,443","8,734","10,127","11,458","12,596","13,437","14,223","15,087","15,640","15,980","16,300","16,671","17,154","17,650","17,990","18,220","18,506","18,480","18,420","18,288","17,953","17,645","17,948","18,274","18,306","18,750","18,853","19,713","20,062","20,508","20,953",
"Public Transfers, Outflows","7,817",868,849,864,823,807,872,950,"1,006","1,055","1,112","1,178","1,225","1,268","1,355","1,437","1,540","1,600","1,689","1,943","2,608","3,220","4,013","4,829","5,675","6,466","7,167","7,734","8,143","8,402","8,610","8,739","8,826","9,027","9,254","9,447","9,851","10,159","10,389","10,667","11,081","11,294","11,453","11,648","12,034","12,279","12,620","13,060","13,535","13,605","13,586","13,617","13,664","13,535","13,774","13,957","13,831","13,784","13,794","12,781","11,894","11,125","9,798","8,677","8,078","7,583","7,414","7,221","6,928","6,740","6,546","6,427","6,293","6,290","6,367","6,468","6,451","6,625","6,545","6,166","5,940","5,314","4,774","4,292","4,027","3,571","3,604","3,389","3,394","3,091","2,848","2,605",
"Public Transfers, Education",0,-101,-98,-100,309,812,"1,006","6,663","6,734","6,651","6,816","6,558","6,722","7,300","7,277","7,276","6,664","6,367","6,102","2,097","1,836","1,287","1,379",64,-38,-619,-707,-713,-923,"-1,005","-1,030","-1,045","-1,056","-1,080","-1,107","-1,130","-1,179","-1,216","-1,243","-1,276","-1,326","-1,352","-1,371","-1,394","-1,441","-1,470","-1,511","-1,564","-1,621","-1,629","-1,627","-1,631","-1,636","-1,621","-1,649","-1,671","-1,656","-1,651","-1,652","-1,530","-1,424","-1,332","-1,172","-1,038",-966,-906,-886,-863,-828,-805,-782,-768,-752,-751,-760,-773,-770,-791,-782,-736,-709,-634,-569,-511,-480,-425,-429,-403,-404,-367,-338,-309,
"Public Transfers, Education, Inflows",934,0,0,0,404,905,"1,107","6,773","6,851","6,774","6,946","6,696","6,865","7,449","7,436","7,445","6,845","6,555","6,301","2,327","2,145","1,670","1,857",640,639,153,150,212,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
