Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"16,232",0,0,0,0,0,0,0,0,1,1,1,2,4,13,48,155,444,"1,197","2,754","4,669","6,669","8,991","11,393","13,365","15,448","17,439","19,361","21,532","23,462","25,039","26,718","27,519","28,025","28,783","29,538","30,058","30,955","31,696","32,212","32,746","32,896","33,183","33,148","33,639","33,931","34,323","34,138","34,425","34,373","33,950","33,892","33,889","33,194","32,552","31,327","29,552","27,848","25,195","22,288","19,384","16,016","12,679","9,277","6,411","3,948","2,420","1,563","1,121",861,726,661,616,517,446,360,301,295,234,234,208,194,135,111,81,64,48,0,0,0,0,0,
Earnings,"14,942",0,0,0,0,0,0,0,0,1,0,1,2,3,13,47,154,443,"1,195","2,750","4,661","6,657","8,969","11,359","13,309","15,361","17,292","19,123","21,203","22,993","24,448","25,943","26,555","26,892","27,412","27,925","28,177","28,837","29,368","29,624","29,937","29,995","30,158","30,064","30,499","30,762","31,081","30,887","31,213","31,109","30,652","30,630","30,736","30,189","29,576","28,481","26,724","25,136","22,550","19,905","17,286","14,110","11,020","7,846","5,141","2,887","1,582",880,557,386,342,330,318,302,261,205,171,181,137,141,137,136,88,73,50,38,27,0,0,0,0,0,
Self-employment Labor Income,"1,290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7,11,21,34,56,87,146,238,329,469,592,775,964,"1,133","1,371","1,613","1,881","2,118","2,328","2,588","2,809","2,901","3,025","3,084","3,141","3,169","3,242","3,250","3,212","3,264","3,297","3,262","3,153","3,005","2,977","2,846","2,828","2,712","2,645","2,383","2,098","1,906","1,658","1,431","1,271","1,061",838,684,564,476,383,331,298,215,185,155,130,114,98,94,71,58,47,38,31,26,21,0,0,0,0,0,
Reallocations,"3,456","10,468","9,268","8,973","8,976","8,998","9,226","11,755","13,860","14,451","14,872","15,748","16,781","17,164","17,707","18,175","18,422","17,922","16,756","15,396","13,217","11,322","9,282","7,246","5,720","3,993","2,377",182,"-1,961","-4,001","-5,689","-7,431","-8,264","-8,879","-9,543","-10,397","-10,954","-11,960","-12,693","-13,503","-14,130","-14,467","-14,754","-14,692","-15,045","-15,098","-15,329","-14,685","-14,828","-14,298","-13,627","-13,460","-13,001","-12,056","-11,058","-9,410","-6,935","-5,345","-2,511",706,"3,779","7,328","10,789","14,431","17,224","19,742","21,411","22,182","22,570","22,693","22,700","22,717","22,693","22,518","22,790","22,955","23,153","23,124","23,504","23,602","23,718","23,908","24,114","24,246","24,595","24,782","25,521","25,742","26,172","26,688","26,712","27,030",
Transfers,-4,"10,713","9,395","9,094","8,929","9,017","9,265","11,679","13,865","14,532","14,732","15,664","16,766","17,106","17,498","17,821","17,822","17,084","15,792","14,611","12,653","10,700","8,698","6,527","4,551","2,859","1,111","-1,074","-2,653","-4,281","-5,806","-7,112","-8,237","-9,393","-10,157","-11,094","-11,986","-12,975","-13,643","-14,720","-15,505","-16,182","-16,624","-17,170","-17,611","-17,853","-18,062","-17,769","-17,441","-16,720","-16,413","-16,232","-15,693","-15,457","-14,790","-13,733","-11,954","-10,577","-8,785","-6,749","-4,712","-2,746",-123,"2,779","5,558","8,377","10,304","11,491","12,342","12,866","12,982","13,371","13,507","13,552","14,092","14,503","14,789","14,908","15,472","15,466","15,854","16,377","16,857","17,230","18,581","19,502","21,173","22,005","22,702","23,725","24,742","26,472",
Public Transfers,82,"4,184","3,231","3,117","2,729","2,710","2,769","5,009","6,805","6,978","6,790","7,280","7,917","7,895","7,995","8,038","7,860","7,087","5,953","5,207","4,011","2,821","1,917",896,-113,-983,"-1,950","-3,403","-4,463","-5,489","-6,452","-7,177","-7,817","-8,314","-8,499","-8,838","-9,131","-9,451","-9,548","-10,035","-10,294","-10,544","-10,739","-10,962","-11,239","-11,467","-11,717","-11,519","-11,492","-11,134","-11,067","-11,135","-10,845","-10,820","-10,417","-9,703","-8,528","-7,667","-6,376","-4,631","-2,997","-1,206","1,244","4,039","6,630","9,468","11,448","12,704","13,647","14,281","14,423","14,821","14,969","15,033","15,604","16,039","16,394","16,595","17,226","17,333","17,807","18,495","19,154","19,753","21,004","22,010","23,701","23,759","24,469","25,520","26,558","28,363",
"Public Transfers, Inflows","11,366","4,999","4,017","3,897","3,560","3,546","3,626","5,904","7,743","7,971","7,862","8,402","9,092","9,126","9,289","9,398","9,306","8,649","7,724","7,353","6,745","6,512","6,549","6,596","6,741","6,982","7,115","6,747","6,707","6,658","6,596","6,661","6,732","6,856","7,237","7,445","7,710","7,860","8,158","8,079","8,164","8,138","8,258","8,345","8,443","8,539","8,611","8,945","8,942","9,282","9,323","9,173","9,390","9,289","9,475","9,759","10,382","10,381","10,754","11,359","11,769","12,306","13,463","15,040","16,655","18,648","20,026","20,915","21,640","22,145","22,210","22,543","22,640","22,657","23,194","23,598","23,926","24,109","24,708","24,809","25,260","25,941","26,611","27,234","28,518","29,561","31,212","30,911","31,300","32,080","32,992","34,679",
"Public Transfers, Outflows","11,284",815,786,780,831,836,858,896,937,992,"1,071","1,122","1,175","1,231","1,294","1,360","1,445","1,562","1,772","2,146","2,733","3,691","4,632","5,699","6,855","7,965","9,066","10,150","11,170","12,147","13,048","13,837","14,549","15,170","15,736","16,282","16,841","17,310","17,707","18,114","18,458","18,682","18,997","19,307","19,681","20,006","20,328","20,464","20,434","20,416","20,390","20,308","20,235","20,109","19,892","19,462","18,910","18,048","17,130","15,991","14,766","13,511","12,219","11,001","10,025","9,179","8,579","8,211","7,994","7,865","7,787","7,722","7,672","7,624","7,590","7,559","7,532","7,514","7,482","7,476","7,453","7,445","7,457","7,481","7,514","7,551","7,511","7,152","6,832","6,560","6,434","6,316",
"Public Transfers, Education",2,-62,-60,-59,-63,-63,23,"2,296","4,107","4,194","4,212","4,735","5,290","5,442","5,444","5,480","5,272","4,534","3,494","2,914","2,299","1,831","1,664","1,445","1,242","1,053",901,398,104,-189,-423,-620,-776,-896,-994,"-1,070","-1,140","-1,198","-1,247","-1,293","-1,320","-1,415","-1,438","-1,462","-1,490","-1,514","-1,538","-1,548","-1,546","-1,545","-1,543","-1,536","-1,531","-1,521","-1,504","-1,472","-1,430","-1,364","-1,295","-1,208","-1,115","-1,020",-922,-830,-755,-691,-645,-617,-600,-591,-584,-579,-575,-572,-569,-567,-565,-563,-561,-560,-558,-558,-559,-560,-563,-565,-562,-535,-511,-490,-481,-472,
"Public Transfers, Education, Inflows",855,0,0,0,0,0,88,"2,364","4,178","4,270","4,293","4,820","5,379","5,536","5,542","5,583","5,382","4,652","3,628","3,077","2,506","2,111","2,016","1,877","1,761","1,657","1,589","1,168",951,732,566,429,327,254,198,164,136,113,94,79,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
