Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"17,062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,"1,537","4,210","6,883","9,666","12,577","15,566","18,411","20,860","22,778","24,227","25,265","25,992","26,681","27,510","28,354","29,185","29,996","30,737","31,284","31,630","31,941","32,204","32,410","32,678","33,162","33,641","34,154","34,631","34,957","35,060","34,902","34,613","33,941","33,081","32,209","31,494","30,424","29,598","28,644","27,252","25,219","23,042","20,123","16,853","13,438","10,121","6,984","4,570","2,767","1,592",994,755,635,592,566,495,446,374,320,279,266,204,166,127,91,55,49,43,41,32,23,21,27,42,69,95,
Earnings,"15,135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,"1,574","4,191","6,808","9,517","12,317","15,171","17,787","19,979","21,631","22,833","23,584","24,126","24,645","25,283","25,930","26,555","27,137","27,482","27,715","27,742","27,825","27,907","28,366","28,813","29,434","29,975","30,469","30,656","30,741","30,710","30,464","30,111","29,411","28,569","27,723","27,025","26,033","25,359","24,564","23,340","21,688","19,981","17,462","14,613","11,632","8,608","5,689","3,580","1,988",972,480,316,193,180,183,143,111,84,60,43,55,50,45,39,33,26,28,30,32,32,31,32,32,20,9,0,
Self-employment Labor Income,"1,927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,134,262,419,651,902,"1,157","1,414","1,667","1,933","2,176","2,407","2,623","2,819","2,942","3,059","3,190","3,329","3,471","3,606","3,750","3,881","4,006","4,148","4,279","4,395","4,420","4,450","4,469","4,461","4,434","4,466","4,415","4,292","4,157","3,984","3,783","3,573","3,325","3,023","2,729","2,412","2,093","1,808","1,552","1,254","1,021",823,670,564,529,469,420,372,343,294,264,238,215,159,126,92,61,30,22,14,10,6,3,1,0,0,0,0,
Reallocations,"1,226","10,254","8,164","8,110","9,972","10,851","12,640","14,057","14,588","15,415","15,141","17,798","18,717","19,305","19,220","20,246","16,518","14,437","13,092","9,642","4,879","1,703","-1,318","-3,444","-5,030","-6,168","-6,927","-7,496","-8,091","-8,850","-9,653","-10,486","-11,351","-12,097","-12,676","-12,920","-13,129","-13,141","-13,111","-13,134","-13,576","-13,930","-14,446","-15,097","-15,569","-15,704","-15,703","-15,550","-14,950","-14,248","-13,519","-12,841","-11,791","-10,759","-9,341","-7,537","-5,135","-2,507",617,"3,778","7,009","10,051","12,659","14,662","16,097","16,947","17,327","17,581","17,730","17,966","18,425","18,835","19,147","19,382","19,581","19,533","19,501","19,534","19,560","19,448","19,370","19,310","19,201","19,165","19,261","19,386","19,566","19,776","19,968","20,118","20,253","20,387",
Transfers,-250,"10,442","8,325","8,273","10,148","11,011","12,839","14,259","14,786","15,636","15,356","18,049","18,965","19,571","19,491","20,578","16,821","14,499","13,390","9,645","4,757","1,455","-1,689","-3,948","-5,669","-6,904","-7,766","-8,458","-9,237","-10,201","-11,273","-12,386","-13,488","-14,403","-15,187","-15,712","-16,190","-16,585","-16,957","-17,241","-17,727","-18,068","-18,370","-18,618","-18,685","-18,457","-18,021","-17,413","-16,478","-15,461","-14,417","-13,439","-12,250","-11,104","-9,729","-8,078","-6,012","-3,740","-1,110","1,657","4,529","7,308","9,703","11,655","13,034","13,856","14,216","14,480","14,653","14,957","15,472","15,986","16,458","16,865","17,254","17,510","17,876","18,299","18,683","18,939","19,182","19,365","19,489","19,691","20,000","20,299","20,609","20,917","21,205","21,457","21,696","21,936",
Public Transfers,-209,"3,316","2,206","2,128","3,467","5,033","5,293","6,593","7,292","7,316","7,200","8,543","9,565","9,490","9,201","8,075","6,607","5,708","4,760","2,542",-782,"-2,522","-4,273","-5,389","-6,241","-6,838","-7,306","-7,753","-8,218","-8,746","-9,326","-9,821","-10,137","-10,334","-10,470","-10,441","-10,470","-10,587","-10,748","-10,917","-11,288","-11,599","-11,905","-12,180","-12,329","-12,295","-12,140","-11,864","-11,356","-10,805","-10,222","-9,676","-8,962","-8,281","-7,363","-6,173","-4,567","-2,682",-375,"2,116","4,788","7,453","9,752","11,634","12,993","13,822","14,166","14,422","14,605","14,908","15,422","15,914","16,395","16,797","17,173","17,422","17,853","18,374","18,867","19,265","19,668","20,027","20,334","20,737","21,222","21,708","22,182","22,665","23,153","23,648","24,146","24,644",
"Public Transfers, Inflows","11,117","4,806","3,697","3,621","4,971","6,566","6,873","8,231","8,990","9,081","9,035","10,464","11,588","11,701","11,705","11,031","10,171","10,108","10,181","9,165","7,188","6,866","6,466","6,549","6,632","6,667","6,662","6,599","6,524","6,469","6,460","6,482","6,547","6,617","6,678","6,739","6,789","6,838","6,880","6,924","6,924","6,921","6,912","6,891","6,876","6,898","6,918","6,930","7,000","7,062","7,211","7,447","7,877","8,438","9,302","10,233","11,360","12,594","14,024","15,405","16,901","18,346","19,544","20,390","20,946","21,258","21,380","21,465","21,616","21,947","22,436","22,822","23,242","23,587","23,849","24,034","24,405","24,854","25,276","25,632","25,932","26,198","26,406","26,699","27,063","27,432","27,780","28,126","28,472","28,816","29,161","29,505",
"Public Transfers, Outflows","11,326","1,489","1,491","1,493","1,504","1,533","1,580","1,638","1,698","1,765","1,834","1,921","2,022","2,211","2,504","2,956","3,563","4,401","5,421","6,623","7,970","9,388","10,739","11,938","12,873","13,505","13,968","14,352","14,743","15,215","15,785","16,303","16,684","16,951","17,149","17,180","17,259","17,426","17,628","17,841","18,212","18,520","18,817","19,071","19,205","19,193","19,058","18,794","18,356","17,867","17,432","17,123","16,839","16,719","16,665","16,406","15,927","15,276","14,398","13,289","12,113","10,894","9,792","8,755","7,952","7,436","7,214","7,043","7,011","7,039","7,014","6,908","6,847","6,790","6,676","6,612","6,552","6,480","6,410","6,367","6,264","6,170","6,072","5,962","5,841","5,724","5,598","5,461","5,319","5,169","5,015","4,861",
"Public Transfers, Education",0,-193,-199,-109,"1,293","2,823","3,191","4,565","5,330","5,356","5,331","6,719","7,847","7,931","7,920","7,186","6,216","5,863","5,613","4,050","2,019","1,034",578,575,282,106,-141,-335,-542,-812,"-1,005","-1,124","-1,258","-1,353","-1,447","-1,515","-1,591","-1,598","-1,709","-1,758","-1,785","-1,848","-1,866","-1,883","-1,901","-1,907","-1,913","-1,898","-1,873","-1,834","-1,808","-1,790","-1,796","-1,819","-1,846","-1,839","-1,853","-1,851","-1,833","-1,779","-1,767","-1,733","-1,703","-1,676","-1,652","-1,629","-1,603","-1,578","-1,555","-1,534","-1,512","-1,492","-1,472","-1,451","-1,430","-1,413","-1,395","-1,376","-1,355","-1,334","-1,311","-1,286","-1,261","-1,234","-1,206","-1,177","-1,147","-1,111","-1,075","-1,043","-1,007",-972,
"Public Transfers, Education, Inflows","1,459",91,91,186,"1,595","3,136","3,518","4,909","5,691","5,735","5,728","7,139","8,289","8,402","8,427","7,740","6,821","6,536","6,368","4,900","2,981","2,115","1,774","1,877","1,670","1,549","1,350","1,203","1,038",814,678,611,512,449,383,337,285,311,226,196,191,143,140,138,138,143,139,139,137,137,133,131,131,126,129,152,147,126,119,134,110,109,115,114,112,109,106,103,100,97,94,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
