Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"12,105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,120,654,"1,302","2,057","3,371","4,891","6,354","7,846","9,678","11,479","13,083","14,989","16,780","17,822","18,864","20,097","21,246","21,937","22,682","23,027","22,896","22,770","23,393","24,408","25,058","25,396","25,876","26,169","26,291","25,797","25,680","26,044","25,923","25,156","24,620","24,430","22,895","22,077","21,075","20,742","19,509","19,031","16,969","15,947","13,995","12,637","10,412","9,697","8,363","7,930","6,127","4,795","3,172","1,702",392,275,172,153,71,63,45,74,71,81,88,107,53,52,41,41,17,16,16,4,0,0,
Earnings,"10,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,115,644,"1,286","2,029","3,313","4,813","6,166","7,534","9,211","10,796","12,214","14,035","15,582","16,483","17,313","18,334","19,106","19,489","20,047","20,180","19,746","19,479","19,960","20,843","21,547","21,678","22,182","22,217","21,975","21,471","21,446","21,292","21,063","20,530","19,887","19,581","18,317","17,802","16,928","16,452","15,342","14,593","12,344","11,049","9,477","8,506","6,873","6,480","5,802","4,916","3,535","2,762","1,727",666,230,128,39,40,13,11,2,6,7,11,12,11,5,6,0,0,0,0,0,0,0,0,
Self-employment Labor Income,"1,908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,28,58,78,188,311,467,683,870,954,"1,197","1,339","1,551","1,763","2,139","2,448","2,635","2,847","3,150","3,291","3,432","3,565","3,511","3,718","3,695","3,952","4,316","4,326","4,234","4,752","4,861","4,625","4,734","4,848","4,577","4,275","4,147","4,290","4,167","4,438","4,626","4,898","4,518","4,132","3,539","3,217","2,561","3,015","2,592","2,033","1,444","1,035",162,147,133,113,58,52,42,68,64,70,76,96,48,46,41,41,17,16,16,4,0,0,
Reallocations,"1,850","8,650","6,974","7,375","9,365","10,167","10,521","11,046","11,705","11,554","11,866","12,168","12,583","12,059","12,837","13,163","12,856","13,601","13,422","13,340","12,287","11,106","8,918","7,756","5,055","2,893","1,506",-747,"-2,720","-3,659","-4,850","-6,032","-7,095","-7,635","-8,363","-8,423","-8,595","-8,393","-8,965","-9,964","-11,142","-11,548","-12,279","-12,493","-12,620","-11,822","-11,560","-11,577","-11,473","-10,838","-10,299","-10,150","-8,481","-7,720","-6,660","-6,302","-5,088","-4,250","-2,153",-988,646,"2,064","4,274","4,969","6,118","6,610","8,499","10,276","11,459","12,608","14,151","14,036","14,538","14,809","15,348","14,920","14,830","15,173","14,845","14,199","13,855","14,099","14,446","14,314","14,206","14,488","15,159","15,050","14,953","15,051","14,741","14,488",
Transfers,-22,"8,746","7,074","7,479","9,471","10,274","10,633","11,160","11,824","11,677","11,995","12,303","12,726","12,209","12,997","13,331","13,033","14,185","13,791","13,810","12,326","10,872","9,232","7,436","5,345","3,418","1,469",-463,"-2,029","-3,421","-4,325","-5,306","-6,022","-6,852","-7,752","-8,384","-8,988","-9,480","-10,543","-11,287","-12,201","-12,683","-13,460","-14,107","-14,419","-14,306","-14,432","-14,744","-14,504","-13,958","-13,143","-13,129","-11,498","-10,791","-9,966","-9,572","-8,050","-7,126","-4,950","-3,763","-1,901",-607,"1,615","1,845","3,236","3,774","4,284","5,186","6,330","6,289","5,707","6,390","6,472","6,345","6,535","6,966","6,498","6,952","7,222","6,976","6,900","8,082","8,391","7,981","8,258","9,067","9,458","10,470","10,456","10,231","9,354","8,537",
Public Transfers,0,"3,770","1,937","2,181","4,140","4,668","4,716","5,244","5,285","5,189","5,125","5,093","5,010","4,350","4,206","4,187","4,058","4,278","3,893","3,995","3,349","2,948","2,084","1,362",421,-412,"-1,228","-1,858","-2,444","-3,005","-3,423","-4,016","-4,445","-4,728","-4,890","-5,200","-5,347","-5,264","-5,578","-5,846","-6,004","-6,234","-6,669","-6,945","-7,012","-7,127","-7,343","-7,386","-7,158","-7,294","-6,940","-6,771","-5,999","-6,001","-5,522","-5,330","-4,710","-4,026","-3,126","-2,491","-1,534",-879,103,247,"1,653","2,644","4,295","6,024","7,731","8,034","8,043","8,353","8,730","8,699","8,735","8,814","8,836","9,152","9,363","9,456","9,786","10,203","10,524","10,189","10,026","9,748","10,172","10,739","11,045","10,978","11,105","11,291",
"Public Transfers, Inflows","4,740","3,079","1,279","1,556","3,530","4,067","4,150","4,699","4,779","4,719","4,711","4,729","4,710","4,112","4,055","4,096","4,055","4,609","4,416","4,716","4,552","4,539","4,067","3,768","3,303","2,944","2,577","2,530","2,427","2,349","2,295","2,145","2,162","2,186","2,176","2,166","2,081","2,105","2,097","2,105","2,113","2,084","2,097","2,103","2,140","2,176","2,202","2,363","2,399","2,488","2,575","2,679","2,984","3,071","3,235","3,401","3,578","3,991","4,155","4,571","4,986","5,387","6,097","6,513","7,363","8,204","9,372","10,622","11,445","11,477","11,505","11,623","12,001","12,019","11,982","11,944","12,023","12,515","12,468","12,440","12,408","12,698","12,657","12,629","12,483","12,344","12,727","13,102","12,986","12,946","12,909","12,931",
"Public Transfers, Outflows","6,249",818,852,885,900,909,944,965,"1,004","1,040","1,096","1,146","1,210","1,272","1,359","1,419","1,508","1,840","2,032","2,230","2,713","3,100","3,493","3,916","4,392","4,866","5,315","5,897","6,380","6,863","7,228","7,670","8,117","8,423","8,575","8,875","8,938","8,879","9,184","9,460","9,627","9,828","10,275","10,558","10,662","10,813","11,055","11,258","11,067","11,291","11,024","10,960","10,493","10,581","10,267","10,241","9,798","9,527","8,791","8,571","8,030","7,776","7,504","7,775","7,220","7,070","6,587","6,108","5,224","4,953","4,972","4,780","4,781","4,830","4,757","4,641","4,697","4,873","4,614","4,493","4,131","4,006","3,642","3,950","3,966","4,106","4,065","3,873","3,451","3,478","3,313","3,149",
"Public Transfers, Education",0,-143,4,275,"2,243","2,773","2,843","3,598","3,664","3,587","3,557","3,556","3,530","2,909","2,819","2,834","2,752","3,019","2,724","2,917","2,655","2,569","2,020","1,677","1,147",720,283,31,-141,-307,-422,-642,-711,-750,-752,-805,-899,-890,-930,-946,-953,"-1,019","-1,124","-1,174","-1,191","-1,246","-1,315","-1,345","-1,306","-1,391","-1,355","-1,367","-1,368","-1,426","-1,399","-1,410","-1,354","-1,314","-1,237","-1,233","-1,195","-1,198","-1,235","-1,328","-1,260","-1,245","-1,226","-1,175","-1,044","-1,046","-1,107","-1,068","-1,078","-1,090","-1,077","-1,051","-1,064","-1,103","-1,044","-1,016",-934,-905,-825,-894,-899,-930,-922,-879,-783,-789,-752,-715,
"Public Transfers, Education, Inflows",896,42,198,476,"2,447","2,980","3,057","3,817","3,892","3,823","3,806","3,816","3,805","3,197","3,128","3,155","3,089","3,409","3,129","3,335","3,126","3,061","2,538","2,227","1,726","1,329",924,722,582,481,404,231,214,215,214,214,140,142,144,147,149,115,91,92,93,94,85,86,86,85,84,65,24,22,21,19,28,27,25,24,23,21,18,18,18,17,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
