Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"17,640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,"1,641","4,040","6,720","9,421","11,984","14,133","15,869","17,550","19,393","21,346","23,225","24,903","26,275","27,341","28,195","28,970","29,695","30,417","31,179","31,928","32,597","33,217","33,734","34,113","34,491","34,910","35,235","35,474","35,695","35,843","35,885","35,957","36,034","35,989","35,816","35,579","35,287","34,867","34,342","33,720","32,931","31,872","30,359","28,242","25,423","21,907","17,784","13,455","9,460","6,222","3,881","2,439","1,735","1,370","1,093",877,729,621,528,445,384,352,308,260,227,204,185,177,167,150,134,118,101,35,
Earnings,"16,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,"1,632","4,018","6,676","9,344","11,855","13,937","15,601","17,204","18,961","20,807","22,557","24,114","25,372","26,316","27,062","27,755","28,404","29,043","29,703","30,340","30,889","31,372","31,753","32,033","32,335","32,654","32,888","33,084","33,278","33,395","33,460","33,563","33,640","33,630","33,508","33,253","32,888","32,425","31,858","31,188","30,424","29,455","28,003","25,935","23,243","19,900","15,985","11,919","8,204","5,181","3,009","1,732","1,155",892,720,592,494,415,349,289,236,195,156,119,91,81,77,71,69,64,52,42,35,14,
Self-employment Labor Income,"1,081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,21,44,77,129,196,268,346,432,540,668,789,903,"1,025","1,133","1,216","1,292","1,374","1,476","1,588","1,708","1,846","1,982","2,080","2,156","2,256","2,347","2,390","2,417","2,449","2,425","2,395","2,393","2,359","2,309","2,326","2,399","2,442","2,484","2,531","2,507","2,417","2,356","2,307","2,181","2,008","1,799","1,536","1,255","1,041",872,707,579,479,373,285,236,206,179,156,148,157,152,141,136,123,108,106,99,85,81,76,66,21,
Reallocations,908,"7,552","11,652","15,671","16,323","16,870","17,074","15,455","18,770","18,645","18,275","17,312","17,022","17,136","17,066","17,579","17,900","19,304","18,911","16,776","9,382","7,368","5,764","4,488","3,315","1,843",-168,"-2,326","-4,354","-6,091","-7,573","-8,915","-9,879","-10,845","-11,781","-12,761","-14,155","-15,248","-16,232","-17,128","-17,833","-18,261","-18,650","-19,059","-19,341","-19,485","-19,892","-19,844","-19,675","-19,525","-19,384","-19,137","-18,713","-18,200","-17,650","-17,006","-16,459","-15,659","-14,712","-13,543","-11,952","-9,834","-7,006","-3,512",576,"4,843","8,686","11,875","14,217","15,773","16,673","17,291","17,888","18,496","19,115","19,779","20,509","21,297","22,135","23,089","24,228","25,626","27,086","28,587","30,211","32,020","34,016","36,147","38,320","40,449","42,462","48,135",
Transfers,-238,"7,552","11,652","15,671","16,323","16,870","17,074","15,455","18,770","18,645","18,275","17,312","17,022","17,136","17,066","17,579","17,900","19,209","18,705","16,160","7,741","4,512","2,418","1,207",125,"-1,284","-3,045","-4,834","-6,582","-8,068","-9,385","-10,568","-11,566","-12,421","-13,186","-14,176","-15,531","-16,417","-17,334","-18,343","-19,082","-19,467","-20,033","-20,506","-21,187","-21,120","-21,450","-21,576","-21,380","-21,218","-21,093","-20,891","-20,507","-20,021","-19,691","-19,089","-18,565","-17,703","-16,846","-15,651","-13,900","-11,577","-8,705","-5,068",-858,"3,585","7,531","10,960","13,552","15,139","16,085","16,753","17,327","17,912","18,620","19,335","20,192","21,159","22,198","23,329","24,661","26,090","27,613","29,205","30,977","32,907","34,998","37,139","39,261","41,228","43,031","47,779",
Public Transfers,-480,"1,617","5,375","8,887","9,109","9,472","9,535","7,759","10,884","10,490","9,899","8,703","8,177","7,946","7,467","7,436","7,097","7,859","7,435","5,791",-885,"-2,045","-2,726","-3,187","-3,734","-4,642","-5,987","-7,343","-8,539","-9,469","-10,178","-10,744","-10,862","-10,928","-10,989","-11,143","-11,716","-12,010","-12,290","-12,611","-12,956","-13,264","-13,627","-14,026","-14,366","-14,686","-15,359","-15,630","-15,814","-16,009","-16,187","-16,295","-16,339","-16,325","-16,255","-16,081","-15,890","-15,344","-14,577","-13,421","-11,640","-9,289","-6,281","-2,638","1,621","6,047","10,054","13,528","16,136","17,690","18,550","19,188","19,708","20,244","20,892","21,652","22,524","23,537","24,600","25,772","27,126","28,534","30,006","31,614","33,390","35,310","37,379","39,534","41,633","43,574","45,362","50,081",
"Public Transfers, Inflows","16,207","3,552","7,423","11,100","11,464","11,888","12,000","10,277","13,465","13,160","12,640","11,521","11,072","10,956","10,614","10,768","10,665","11,825","12,368","12,222","7,288","7,945","9,021","10,101","10,856","11,189","11,140","11,097","11,143","11,331","11,547","11,675","12,060","12,401","12,681","12,843","12,599","12,610","12,584","12,510","12,407","12,320","12,222","12,126","12,030","11,916","11,455","11,341","11,253","11,214","11,206","11,203","11,246","11,321","11,425","11,600","11,734","12,179","12,792","13,645","14,856","16,320","18,016","19,969","22,299","24,730","26,889","28,848","30,235","30,835","30,980","31,039","31,089","31,290","31,678","32,208","32,870","33,667","34,516","35,519","36,730","38,045","39,445","41,043","42,824","44,749","46,787","48,822","50,730","52,465","54,019","58,064",
"Public Transfers, Outflows","16,687","1,934","2,048","2,214","2,355","2,417","2,465","2,518","2,581","2,669","2,742","2,818","2,896","3,010","3,147","3,332","3,568","3,966","4,933","6,431","8,173","9,990","11,747","13,289","14,590","15,831","17,127","18,440","19,681","20,800","21,724","22,419","22,922","23,329","23,670","23,986","24,315","24,620","24,874","25,121","25,362","25,585","25,849","26,153","26,396","26,601","26,814","26,971","27,066","27,222","27,393","27,498","27,584","27,646","27,681","27,681","27,624","27,523","27,370","27,066","26,496","25,609","24,297","22,607","20,678","18,682","16,836","15,320","14,099","13,145","12,431","11,851","11,381","11,046","10,786","10,556","10,346","10,130","9,917","9,747","9,604","9,511","9,439","9,429","9,433","9,439","9,408","9,288","9,096","8,891","8,658","7,982",
"Public Transfers, Education",-68,-100,"3,755","7,409","7,752","8,168","8,273","6,542","9,721","9,402","8,868","7,731","7,263","7,120","6,747","6,863","6,715","7,772","8,090","7,507","1,893","1,671","1,746","1,785","1,582","1,089",291,-442,"-1,018","-1,432","-1,808","-2,215","-2,303","-2,370","-2,392","-2,430","-2,818","-2,893","-2,937","-2,973","-3,008","-2,998","-3,007","-3,031","-3,057","-3,092","-3,474","-3,500","-3,515","-3,533","-3,551","-3,573","-3,583","-3,589","-3,606","-3,616","-3,771","-3,757","-3,737","-3,693","-3,611","-3,533","-3,343","-3,096","-2,821","-2,541","-2,366","-2,153","-1,981","-1,847","-1,747","-1,665","-1,599","-1,552","-1,516","-1,484","-1,454","-1,424","-1,394","-1,370","-1,350","-1,337","-1,326","-1,325","-1,326","-1,326","-1,322","-1,305","-1,278","-1,250","-1,217","-1,122",
"Public Transfers, Education, Inflows","2,277",171,"4,042","7,720","8,083","8,508","8,619","6,896","10,084","9,777","9,254","8,127","7,670","7,543","7,189","7,331","7,216","8,329","8,784","8,411","3,042","3,075","3,397","3,653","3,632","3,314","2,698","2,149","1,748","1,491","1,245",936,918,909,935,941,599,567,559,557,557,598,625,645,653,646,294,290,289,293,299,292,293,296,284,275,112,111,110,111,113,66,72,81,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
