Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"4,063",0,0,0,0,0,0,0,0,0,0,0,0,23,52,111,235,472,827,"1,289","1,832","2,470","3,161","3,832","4,475","5,090","5,630","6,128","6,563","6,916","7,213","7,445","7,650","7,806","7,925","8,030","8,145","8,283","8,412","8,493","8,549","8,616","8,695","8,785","8,809","8,791","8,774","8,757","8,720","8,616","8,433","8,236","8,046","7,821","7,525","7,246","6,836","6,473","6,148","5,889","5,495","5,118","4,843","4,540","4,244","3,915","3,575","3,242","2,879","2,526","2,216","1,916","1,634","1,408","1,239","1,114",987,880,781,694,606,517,461,386,306,226,147,74,60,7,0,0,
Earnings,"3,651",0,0,0,0,0,0,0,0,0,0,0,0,20,48,104,223,452,797,"1,245","1,769","2,386","3,054","3,698","4,302","4,863","5,329","5,762","6,138","6,440","6,687","6,872","7,031","7,155","7,257","7,355","7,461","7,569","7,655","7,693","7,705","7,721","7,740","7,768","7,736","7,682","7,637","7,594","7,533","7,418","7,243","7,051","6,871","6,663","6,393","6,145","5,795","5,479","5,205","4,985","4,645","4,311","4,072","3,811","3,557","3,276","2,978","2,693","2,379","2,075","1,815","1,563","1,326","1,136",996,894,790,704,625,558,488,419,379,321,260,198,136,74,60,7,0,0,
Self-employment Labor Income,412,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,12,20,29,44,63,84,107,135,173,226,301,366,425,477,526,572,618,651,668,675,684,714,757,800,844,895,955,"1,018","1,073","1,109","1,136","1,163","1,187","1,198","1,189","1,184","1,174","1,158","1,132","1,101","1,041",993,943,904,849,807,771,728,687,639,597,549,501,451,401,353,308,272,243,220,197,176,156,136,117,98,82,64,46,29,11,0,0,0,0,0,
Reallocations,"1,313","2,802","2,629","2,531","2,613","2,616","3,077","3,422","3,586","3,773","3,887","3,890","4,005","4,198","4,358","4,475","4,661","4,436","4,136","3,989","3,650","3,264","3,039","2,377","1,731","1,260",707,283,-178,-456,-990,"-1,256","-1,436","-1,788","-1,800","-1,787","-2,074","-2,066","-2,302","-2,462","-2,522","-2,626","-2,841","-3,132","-3,255","-3,107","-2,954","-2,907","-2,720","-2,420","-2,198","-1,816","-1,455","-1,016",-502,-193,312,784,"1,145","1,343","1,661","1,906","2,039","2,274","2,502","2,816","3,164","3,396","3,762","4,102","4,374","4,653","4,887","5,129","5,288","5,423","5,569","5,682","5,774","5,838","5,917","6,015","6,087","6,171","6,264","6,361","6,457","6,549","6,585","6,659","6,688","6,729",
Transfers,87,"2,856","2,696","2,605","2,570","2,697","3,159","3,450","3,730","3,829","3,928","4,026","4,112","4,295","4,481","4,702","4,829","4,849","4,482","4,160","3,421","2,898","2,746","1,905",968,149,-660,"-1,120","-1,592","-1,873","-2,221","-2,606","-3,028","-3,409","-3,644","-3,853","-4,079","-4,118","-4,428","-4,728","-5,053","-5,498","-5,752","-5,975","-6,142","-6,068","-5,968","-5,975","-5,663","-5,390","-5,320","-5,124","-4,899","-4,543","-4,125","-3,774","-3,425","-2,977","-2,510","-1,811","-1,237",-844,-346,31,427,785,"1,116","1,502","1,771","2,022","2,306","2,580","2,861","3,121","3,379","3,561","3,746","3,923","4,108","4,223","4,355","4,486","4,614","4,753","4,892","5,034","5,175","5,307","5,430","5,565","5,690","5,809",
Public Transfers,3,890,628,453,382,478,875,"1,062","1,155","1,130","1,179","1,226","1,224","1,198","1,195","1,065",960,868,790,757,456,133,268,-164,-487,-627,-843,"-1,032","-1,201","-1,148","-1,198","-1,197","-1,230","-1,490","-1,568","-1,574","-1,622","-1,382","-1,381","-1,455","-1,501","-1,674","-1,738","-1,766","-1,787","-1,725","-1,737","-1,856","-1,746","-1,581","-1,524","-1,358","-1,187",-893,-606,-469,-317,-103,132,497,814,"1,033","1,260","1,475","1,689","1,906","2,092","2,303","2,460","2,649","2,856","3,051","3,236","3,397","3,548","3,682","3,809","3,939","4,067","4,113","4,142","4,125","4,105","4,098","4,085","4,073","4,062","4,039","4,011","3,989","3,954","3,884",
"Public Transfers, Inflows","1,486","1,157",910,743,676,774,"1,179","1,376","1,485","1,465","1,509","1,560","1,569","1,581","1,602","1,531","1,476","1,434","1,396","1,506","1,393","1,255","1,526","1,257","1,133","1,161","1,094","1,024",918,"1,001",987,"1,013","1,018",826,824,868,837,"1,090","1,117","1,084","1,088","1,007",936,849,829,893,921,886,"1,002","1,165","1,233","1,410","1,572","1,809","2,040","2,135","2,247","2,421","2,590","2,791","2,967","3,077","3,177","3,289","3,411","3,568","3,705","3,793","3,905","4,045","4,189","4,315","4,418","4,525","4,612","4,708","4,805","4,900","4,985","4,988","4,974","4,915","4,850","4,797","4,739","4,681","4,625","4,556","4,485","4,419","4,349","4,254",
"Public Transfers, Outflows","1,484",267,281,290,294,296,304,315,331,335,330,334,345,383,407,466,516,565,606,749,937,"1,122","1,258","1,421","1,620","1,788","1,937","2,056","2,120","2,150","2,185","2,209","2,249","2,317","2,392","2,441","2,458","2,472","2,498","2,539","2,589","2,682","2,674","2,615","2,616","2,617","2,658","2,742","2,747","2,746","2,757","2,768","2,759","2,702","2,646","2,604","2,564","2,524","2,458","2,294","2,153","2,044","1,917","1,814","1,722","1,663","1,613","1,490","1,444","1,395","1,333","1,263","1,182","1,128","1,064","1,026",996,961,918,875,832,789,745,700,654,608,563,518,473,430,396,370,
"Public Transfers, Education",1,-66,-70,-61,-36,92,499,715,830,807,819,833,831,861,930,868,797,710,644,716,566,373,575,223,21,18,-66,-205,-371,-338,-392,-369,-340,-520,-530,-486,-561,-426,-497,-570,-604,-635,-574,-601,-623,-563,-560,-671,-641,-564,-614,-625,-686,-644,-591,-621,-638,-628,-611,-549,-501,-508,-477,-451,-428,-413,-401,-371,-359,-347,-331,-314,-294,-281,-265,-255,-248,-239,-228,-218,-207,-196,-185,-174,-163,-151,-140,-129,-118,-107,-98,-92,
"Public Transfers, Education, Inflows",370,0,0,11,37,166,575,793,913,890,901,916,917,957,"1,031",984,926,850,794,902,799,652,887,576,424,463,416,306,156,197,151,180,220,56,65,121,51,189,124,61,40,32,91,49,27,88,101,11,43,119,72,64,0,28,67,27,0,0,0,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Education, Outflows",369,66,70,72,73,74,76,78,82,83,82,83,86,95,101,116,128,141,151,186,233,279,313,353,403,445,482,511,527,535,543,549,559,576,595,607,611,615,621,631,644,667,665,650,651,651,661,682,683,683,686,688,686,672,658,648,638,628,611,570,535,508,477,451,428,413,401,371,359,347,331,314,294,281,265,255,248,239,228,218,207,196,185,174,163,151,140,129,118,107,98,92,
"Public Transfers, Health",-8,706,455,276,182,143,128,100,81,83,116,145,145,105,49,12,-4,20,42,12,-46,-93,-104,-121,-156,-196,-240,-220,-181,-160,-160,-189,-247,-295,-315,-321,-277,-172,-100,-98,-104,-199,-314,-344,-354,-362,-368,-365,-322,-291,-254,-182,-99,-27,11,11,3,18,39,80,105,115,120,133,143,168,203,285,353,409,467,529,594,656,724,787,863,946,"1,037","1,088","1,125","1,128","1,126","1,135","1,140","1,143","1,148","1,141","1,132","1,125","1,114","1,073",
