Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"8,712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55,183,497,"1,089","2,038","3,352","4,990","6,877","8,849","10,757","12,431","13,739","14,676","15,270","15,595","15,793","15,931","16,074","16,333","16,588","16,734","16,949","17,082","17,380","17,651","17,653","17,529","17,243","17,052","16,975","16,948","16,946","16,813","16,724","16,723","16,736","16,749","16,520","16,099","15,599","14,769","13,587","12,064","10,181","8,327","6,593","5,123","3,985","3,079","2,352","1,831","1,515","1,285","1,071",860,669,541,473,416,358,310,254,194,143,76,0,0,0,0,0,0,0,0,0,0,
Earnings,"7,660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,48,161,437,957,"1,792","2,947","4,387","6,046","7,780","9,457","10,929","12,079","12,903","13,425","13,711","13,885","14,006","14,132","14,360","14,584","14,713","14,902","15,018","15,280","15,519","15,520","15,411","15,160","14,992","14,924","14,901","14,899","14,782","14,704","14,703","14,714","14,726","14,524","14,154","13,714","12,985","11,946","10,606","8,951","7,321","5,797","4,504","3,504","2,707","2,068","1,610","1,332","1,130",942,756,588,476,416,366,315,273,223,170,126,67,0,0,0,0,0,0,0,0,0,0,
Self-employment Labor Income,"1,052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,22,60,132,246,405,603,831,"1,069","1,299","1,502","1,660","1,773","1,845","1,884","1,908","1,924","1,942","1,973","2,004","2,022","2,047","2,063","2,099","2,132","2,132","2,117","2,083","2,060","2,051","2,047","2,047","2,031","2,020","2,020","2,022","2,023","1,996","1,945","1,884","1,784","1,641","1,457","1,230","1,006",796,619,481,372,284,221,183,155,129,104,81,65,57,50,43,38,31,23,17,9,0,0,0,0,0,0,0,0,0,0,
Reallocations,"1,325","5,790","5,213","5,045","7,018","7,646","7,823","7,981","8,174","8,370","8,600","8,706","8,994","9,122","9,431","9,842","9,831","10,034","9,983","9,708","9,211","8,248","6,989","5,132","3,062","1,060",-816,"-2,445","-3,682","-4,490","-5,064","-5,527","-5,733","-5,882","-6,098","-6,408","-6,924","-7,144","-7,431","-7,644","-7,917","-8,099","-8,068","-7,935","-7,610","-7,335","-7,334","-7,187","-7,069","-6,781","-6,525","-6,375","-6,243","-6,054","-5,662","-5,105","-4,462","-3,494","-2,188",-593,"1,401","3,267","5,008","6,420","7,453","8,277","8,957","9,437","9,666","9,790","9,990","10,216","10,376","10,491","10,563","10,577","10,611","10,600","10,625","10,661","10,715","10,888",0,0,0,0,0,0,0,0,0,0,
Transfers,-38,"5,656","5,094","4,914","6,878","7,488","7,635","7,773","7,963","8,157","8,374","8,494","8,777","8,900","9,187","9,602","9,579","9,706","9,556","9,147","8,062","6,628","4,920","2,865",557,"-1,822","-4,023","-5,861","-7,240","-8,171","-8,819","-9,192","-9,237","-9,287","-9,493","-9,753","-10,152","-10,469","-10,771","-10,975","-11,020","-11,035","-11,046","-11,167","-11,250","-11,219","-11,284","-11,082","-10,815","-10,460","-9,990","-9,501","-9,008","-8,457","-7,692","-6,568","-5,072","-3,104",-983,"1,354","4,027","6,376","8,107","9,009","9,503","9,957","10,319","10,564","10,627","10,588","10,578","10,602","10,671","10,780","10,866","10,914","10,958","11,038","11,064","11,007","10,959","11,024",0,0,0,0,0,0,0,0,0,0,
Public Transfers,-37,"3,385","2,815","2,614","4,538","5,080","5,142","5,154","5,175","5,188","5,178","5,163","5,204","5,225","5,251","5,487","5,353","5,332","5,245","4,933","4,428","3,634","2,622","1,392",-54,"-1,513","-2,827","-3,945","-4,840","-5,515","-5,990","-6,407","-6,580","-6,695","-6,833","-6,940","-7,194","-7,390","-7,610","-7,801","-7,960","-8,135","-8,268","-8,346","-8,357","-8,338","-8,492","-8,463","-8,465","-8,421","-8,300","-8,149","-7,974","-7,839","-7,490","-6,652","-5,304","-3,383","-1,350",855,"3,384","5,616","7,176","7,919","8,302","8,735","9,159","9,518","9,716","9,823","9,959","10,106","10,237","10,309","10,354","10,423","10,497","10,560","10,584","10,598","10,638","10,743",0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Inflows","6,201","3,385","2,815","2,614","4,538","5,080","5,142","5,154","5,175","5,188","5,178","5,163","5,204","5,225","5,251","5,487","5,398","5,454","5,528","5,506","5,467","5,356","5,256","5,149","4,985","4,884","4,905","5,002","5,130","5,246","5,331","5,283","5,351","5,404","5,409","5,442","5,322","5,271","5,212","5,178","5,155","5,075","4,981","4,884","4,812","4,753","4,542","4,542","4,521","4,556","4,680","4,826","4,963","5,003","5,131","5,502","5,922","6,316","6,471","6,733","7,425","8,197","8,879","9,142","9,222","9,443","9,706","9,943","10,048","10,085","10,169","10,275","10,374","10,419","10,444","10,499","10,561","10,614","10,628","10,631","10,662","10,756",0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Outflows","6,239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,122,283,572,"1,040","1,722","2,634","3,757","5,039","6,397","7,732","8,948","9,970","10,762","11,321","11,690","11,931","12,099","12,241","12,382","12,515","12,661","12,822","12,980","13,115","13,211","13,249","13,230","13,168","13,091","13,034","13,004","12,986","12,976","12,980","12,975","12,937","12,842","12,621","12,154","11,226","9,698","7,821","5,878","4,041","2,581","1,703","1,223",920,708,547,425,332,262,210,170,137,111,91,76,64,54,44,34,23,13,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Education",0,0,0,0,"2,067","2,681","2,776","2,822","2,870","2,896","2,892","2,880","2,915","2,917","2,908","3,097","2,930","2,858","2,739","2,495","2,217","1,840","1,462","1,062",579,141,-194,-458,-653,-792,-895,"-1,077","-1,094","-1,069","-1,085","-1,091","-1,224","-1,238","-1,259","-1,272","-1,271","-1,283","-1,285","-1,283","-1,271","-1,273","-1,451","-1,449","-1,447","-1,449","-1,452","-1,454","-1,452","-1,443","-1,427","-1,383","-1,272","-1,105",-912,-713,-518,-348,-232,-173,-135,-104,-80,-62,-49,-38,-31,-25,-21,-16,-13,-11,-10,-8,-7,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Education, Inflows",699,0,0,0,"2,067","2,681","2,776","2,822","2,870","2,896","2,892","2,880","2,915","2,917","2,908","3,097","2,934","2,869","2,765","2,551","2,322","2,017","1,737","1,461","1,120",834,651,525,448,400,361,220,231,275,276,283,165,167,166,174,190,187,190,191,196,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Education, Outflows",699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,27,56,105,177,275,398,541,693,845,983,"1,101","1,192","1,256","1,298","1,324","1,343","1,360","1,375","1,389","1,406","1,425","1,446","1,461","1,470","1,475","1,474","1,467","1,458","1,451","1,449","1,447","1,449","1,452","1,454","1,452","1,443","1,427","1,383","1,272","1,105",912,713,518,348,232,173,135,104,80,62,49,38,31,25,21,16,13,11,10,8,7,5,3,2,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Health",0,"1,486",885,664,506,425,382,342,311,292,276,260,245,236,238,246,243,236,216,179,120,36,-76,-210,-354,-502,-648,-782,-905,"-1,018","-1,111","-1,182","-1,233","-1,265","-1,271","-1,264","-1,256","-1,250","-1,247","-1,245","-1,239","-1,227","-1,210","-1,185","-1,146","-1,098","-1,047","-1,001",-960,-918,-872,-821,-767,-705,-618,-490,-314,-96,151,411,664,889,"1,072","1,219","1,351","1,475","1,590","1,694","1,774","1,824","1,862","1,900","1,934","1,958","1,968","1,971","1,973","1,975","1,987","2,018","2,069","2,159",0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Health, Inflows",854,"1,486",885,664,506,425,382,342,311,292,276,260,245,236,238,246,254,262,268,274,281,288,294,304,321,345,370,393,408,406,396,386,376,375,392,419,447,474,498,519,542,566,588,613,647,689,734,776,815,857,904,954,"1,001","1,043","1,083","1,127","1,173","1,216","1,255","1,294","1,336","1,380","1,422","1,467","1,532","1,612","1,697","1,777","1,839","1,875","1,903","1,932","1,960","1,980","1,985","1,985","1,985","1,985","1,995","2,024","2,073","2,162",0,0,0,0,0,0,0,0,0,0,
"PublicTransfers,  Health, Outflows",854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,52,95,161,252,370,513,675,847,"1,017","1,175","1,312","1,423","1,507","1,567","1,609","1,639","1,663","1,683","1,703","1,724","1,745","1,764","1,781","1,792","1,798","1,798","1,793","1,787","1,781","1,777","1,775","1,775","1,776","1,774","1,768","1,748","1,702","1,617","1,487","1,312","1,104",882,672,491,350,249,182,138,106,83,65,51,41,33,26,21,18,15,12,10,8,6,4,2,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Pensions",0,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,82,68,30,-47,-180,-382,-657,-996,"-1,379","-1,779","-2,164","-2,503","-2,775","-2,972","-3,096","-3,165","-3,204","-3,228","-3,249","-3,271","-3,284","-3,302","-3,337","-3,361","-3,360","-3,346","-3,312","-3,280","-3,220","-3,109","-3,001","-2,915","-2,873","-2,811","-2,684","-2,546","-2,415","-2,349","-2,154","-1,686","-1,025",-109,732,"1,698","3,036","4,254","5,078","5,351","5,418","5,588","5,778","5,948","6,014","6,037","6,097","6,163","6,222","6,246","6,273","6,344","6,423","6,494","6,522","6,529","6,547","6,582",0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Pensions, Inflows","1,668",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,89,91,92,93,99,116,135,151,158,174,217,265,308,325,356,435,524,603,634,680,798,930,"1,048","1,094","1,246","1,637","2,074","2,464","2,617","2,890","3,592","4,377","5,078","5,351","5,418","5,588","5,778","5,948","6,014","6,037","6,097","6,163","6,222","6,246","6,273","6,344","6,423","6,494","6,522","6,529","6,547","6,582",0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Pensions, Outflows","1,668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,57,134,267,469,744,"1,083","1,466","1,866","2,251","2,590","2,862","3,060","3,185","3,256","3,296","3,321","3,348","3,387","3,419","3,453","3,494","3,536","3,578","3,611","3,620","3,605","3,576","3,543","3,525","3,518","3,507","3,491","3,482","3,476","3,462","3,442","3,400","3,323","3,099","2,573","1,884","1,193",556,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
