tract_id,Tract,pop,County,Total_units,Vacant,BLT_After2010,BLT_2000_2009,BLT_1990_1999,BLT_1980_1989,BLT_1970_1979,BLT_1960_1969,BLT_1950_1959,BLT_1940_1949,BLT_Before1939,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
15003000800,8,3771,Honolulu County,1344,25,0,100,73,103,209,202,167,190,300,842,477,7,91,624,120,98,99,46,234
15003000901,9.01,2736,Honolulu County,1239,44,0,358,30,29,141,630,39,4,8,644,551,11,279,288,66,70,0,68,413
15003000902,9.02,4088,Honolulu County,1551,70,0,34,45,77,101,218,403,408,265,1006,475,38,60,558,350,109,17,62,287
15003000903,9.03,2858,Honolulu County,1098,51,0,102,110,69,87,162,155,134,279,593,454,42,59,375,117,132,21,66,235
15003001000,10,3096,Honolulu County,1134,53,0,30,112,115,177,140,418,129,13,864,217,48,143,627,46,30,23,37,127
15003001100,11,3862,Honolulu County,1220,51,0,39,138,84,128,162,362,280,27,505,664,61,114,320,10,319,125,87,133
15003001201,12.01,2924,Honolulu County,1120,63,0,38,123,215,121,144,241,118,120,563,494,26,80,389,68,104,55,223,112
15003001202,12.02,3030,Honolulu County,1079,124,9,80,54,26,143,83,320,306,58,688,267,21,130,491,46,43,35,109,80
15003001300,13,4207,Honolulu County,1661,66,0,20,207,158,213,233,304,217,309,818,777,44,126,587,61,119,211,204,243
15003001400,14,2550,Honolulu County,819,41,4,61,63,63,55,146,117,133,177,560,218,14,46,410,90,49,12,40,117
15003001500,15,3527,Honolulu County,1313,69,0,84,35,94,131,286,200,149,334,760,484,39,59,622,40,107,64,102,211
15003001600,16,3783,Honolulu County,1440,129,69,110,117,29,243,198,195,283,196,765,546,62,112,518,73,129,61,157,199
15003001700,17,2437,Honolulu County,1713,449,0,26,34,0,202,655,674,47,75,664,600,57,150,152,305,81,53,86,380
15003001801,18.01,1717,Honolulu County,1356,483,0,0,0,187,411,533,144,43,38,190,683,34,92,53,11,138,93,268,184
15003001803,18.03,3360,Honolulu County,2226,465,0,120,10,94,931,875,149,8,39,491,1270,155,296,40,0,149,246,421,454
15003001804,18.04,1849,Honolulu County,1677,616,0,26,0,525,812,299,15,0,0,368,693,49,244,75,0,85,25,283,300
15003001901,19.01,837,Honolulu County,1652,1307,12,142,0,11,101,1261,67,14,44,133,212,44,18,38,33,16,15,96,85
15003001903,19.03,2770,Honolulu County,2098,520,60,0,10,93,1382,426,47,29,51,634,944,123,257,246,8,56,57,246,585
15003001904,19.04,3912,Honolulu County,3068,808,0,160,15,127,1611,705,314,83,53,1046,1214,334,563,124,25,130,139,410,535
15003002003,20.03,2477,Honolulu County,2238,887,0,10,52,230,1133,509,212,84,8,414,937,175,204,35,0,77,48,581,231
15003002004,20.04,1398,Honolulu County,1051,178,0,0,7,22,494,450,14,11,53,275,598,123,128,24,0,13,61,324,200
15003002005,20.05,2389,Honolulu County,1633,408,0,25,280,34,847,305,96,0,46,334,891,32,217,67,18,32,242,405,212
15003002006,20.06,2364,Honolulu County,2108,664,0,162,37,86,980,458,270,42,73,559,885,135,349,52,23,130,54,389,312
15003002100,21,3864,Honolulu County,1827,143,0,45,33,201,473,505,321,126,123,401,1283,193,134,74,0,141,328,605,209
15003002201,22.01,3684,Honolulu County,1782,151,0,18,5,98,830,281,411,13,126,570,1061,185,246,139,0,99,350,380,232
15003002202,22.02,3400,Honolulu County,1905,103,0,0,0,108,1143,381,151,77,45,898,904,192,557,149,0,46,109,325,424
15003002300,23,5523,Honolulu County,2643,119,0,20,28,403,722,746,337,213,174,880,1644,359,436,53,32,282,491,627,244
15003002401,24.01,3096,Honolulu County,1472,0,0,145,83,273,318,366,158,83,46,314,1158,99,66,98,51,193,189,529,247
15003002402,24.02,3228,Honolulu County,1680,51,0,103,45,351,552,208,176,151,94,455,1174,147,245,63,0,176,262,620,116
15003002500,25,3915,Honolulu County,2154,217,0,140,123,322,502,513,132,276,146,398,1539,143,88,97,70,327,408,656,148
15003002600,26,4249,Honolulu County,2045,125,0,60,118,118,583,541,231,142,252,496,1424,156,230,90,20,365,269,631,159
15003002701,27.01,5093,Honolulu County,905,53,0,15,116,77,48,169,175,163,142,209,643,48,0,102,59,167,92,250,134
15003002702,27.02,5057,Honolulu County,2211,124,0,91,170,181,715,442,237,159,216,985,1102,275,296,288,126,105,196,412,389
15003002800,28,3678,Honolulu County,1525,29,0,14,17,195,194,246,457,226,176,1079,417,23,160,849,47,78,32,76,231
15003002900,29,2415,Honolulu County,845,39,5,74,219,46,107,206,147,20,21,406,400,0,7,175,224,26,14,283,77
15003003000,30,4321,Honolulu County,1615,178,0,22,95,51,159,119,436,174,559,918,519,0,13,451,454,41,81,81,316
15003003101,31.01,3687,Honolulu County,1363,38,0,17,118,122,96,444,356,137,73,1032,293,64,77,609,282,95,71,34,93
15003003102,31.02,3335,Honolulu County,1191,26,0,33,30,150,153,429,247,66,83,965,200,53,50,549,313,52,22,6,120
15003003200,32,833,Honolulu County,371,21,3,59,9,39,60,48,100,0,53,274,76,0,29,92,153,24,0,0,52
15003003300,33,1132,Honolulu County,419,31,0,136,19,11,3,23,134,36,57,319,69,23,61,87,148,51,0,12,6
15003003403,34.03,5530,Honolulu County,3060,226,0,145,63,183,1092,1219,247,28,83,1184,1650,500,399,275,10,210,373,636,431
