Tract,County,Total_units,Occupied,Vacant,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
212.02,Hawaii County,3964,2758,1206,1977,580,1590,352,22,13,538,72,161,10
213,Hawaii County,2780,2130,650,1363,635,425,412,413,113,287,104,183,193
214.02,Hawaii County,1530,1382,148,735,603,152,271,262,50,309,67,116,155
215.02,Hawaii County,2141,1705,436,1051,555,130,98,493,330,168,137,176,173
215.04,Hawaii County,1420,1329,91,627,686,310,208,109,0,234,159,262,47
215.07,Hawaii County,3815,2964,851,2281,683,247,1049,796,189,133,44,117,389
215.09,Hawaii County,3796,2246,1550,1337,847,314,369,484,170,226,97,233,353
216.01,Hawaii County,4316,3029,1287,1639,1271,548,441,548,102,341,401,510,138
216.04,Hawaii County,4533,3330,1203,1902,1396,443,611,618,230,112,233,439,644
217.02,Hawaii County,3658,3196,462,2024,924,470,775,624,155,418,103,195,456
217.04,Hawaii County,6061,3058,3003,2133,858,315,1126,519,173,173,34,201,517
218,Hawaii County,2423,1865,558,1377,414,331,649,280,117,126,126,132,104
219.02,Hawaii County,1480,1295,185,907,315,221,363,287,36,147,59,150,32
22.01,Honolulu County,1782,1631,151,570,1035,185,246,139,0,99,350,380,232
22.02,Honolulu County,1905,1802,103,898,904,192,557,149,0,46,109,325,424
220,Hawaii County,975,865,110,592,182,178,197,147,70,145,46,69,13
221.02,Hawaii County,832,651,181,535,112,259,127,146,3,35,58,16,7
23,Honolulu County,2643,2524,119,880,1557,359,436,53,32,282,491,627,244
24.01,Honolulu County,1472,1472,0,314,1151,99,66,98,51,193,189,529,247
24.02,Honolulu County,1680,1629,51,455,1143,147,245,63,0,176,262,620,116
25,Honolulu County,2154,1937,217,398,1458,143,88,97,70,327,408,656,148
26,Honolulu County,2045,1920,125,496,1295,156,230,90,20,365,269,631,159
27.01,Honolulu County,905,852,53,209,566,48,0,102,59,167,92,250,134
27.02,Honolulu County,2211,2087,124,985,1102,275,296,288,126,105,196,412,389
28,Honolulu County,1525,1496,29,1079,350,23,160,849,47,78,32,76,231
29,Honolulu County,845,806,39,406,379,0,7,175,224,26,14,283,77
3.01,Honolulu County,1169,1080,89,880,149,8,26,452,394,56,0,44,100
3.02,Honolulu County,1079,1000,79,832,124,59,9,528,236,69,0,32,67
30,Honolulu County,1615,1437,178,918,510,0,13,451,454,41,81,81,316
301,Maui County,928,613,315,381,163,43,116,92,130,105,36,38,53
302.01,Maui County,1111,945,166,638,281,47,118,394,79,42,29,95,141
302.02,Maui County,3172,2895,277,1657,1088,150,306,918,283,230,192,426,390
303.01,Maui County,3579,3161,418,1705,1270,102,302,805,496,200,200,505,551
303.03,Maui County,3642,1769,1873,1131,549,60,39,343,689,89,64,69,416
304.02,Maui County,3324,2995,329,1880,1024,84,357,1370,69,157,101,510,347
304.03,Maui County,1321,1228,93,650,547,97,210,290,53,31,120,202,225
304.04,Maui County,1994,1817,177,1008,764,59,293,571,85,127,49,304,329
305.01,Maui County,1014,797,217,498,273,18,178,213,89,67,49,59,124
307.05,Maui County,1135,987,148,544,411,15,155,347,27,32,98,217,96
307.06,Maui County,1325,1122,203,464,651,161,82,200,21,35,21,303,299
307.07,Maui County,4444,3078,1366,1681,1343,329,792,536,24,63,116,358,860
307.08,Maui County,1431,1238,193,522,699,37,154,242,89,79,108,146,383
307.09,Maui County,3924,1877,2047,775,1073,89,193,389,104,39,121,359,583
307.1,Maui County,2486,1136,1350,771,356,121,120,459,71,54,26,63,222
308,Maui County,2058,1856,202,1547,262,230,528,714,75,52,28,57,172
309.01,Maui County,1178,1109,69,414,675,115,187,112,0,291,164,103,137
309.02,Maui County,1308,1091,217,585,452,245,183,117,40,163,38,177,128
309.03,Maui County,1806,1806,0,1465,275,319,465,670,11,181,19,56,85
31.01,Honolulu County,1363,1325,38,1032,212,64,77,609,282,95,71,34,93
31.02,Honolulu County,1191,1165,26,965,157,53,50,549,313,52,22,6,120
310,Maui County,3200,2902,298,2153,709,163,646,1222,122,66,97,248,338
311.01,Maui County,2204,1990,214,1207,771,258,260,624,65,269,289,190,35
311.02,Maui County,1693,1433,260,650,661,28,280,258,84,282,77,343,81
311.03,Maui County,2055,1885,170,1267,544,138,391,725,13,270,98,145,105
314.02,Maui County,936,783,153,591,154,115,90,314,72,69,0,15,108
314.04,Maui County,1862,1250,612,393,824,72,63,193,65,185,229,266,177
314.05,Maui County,1370,1233,137,678,555,56,165,398,59,85,196,203,71
315.01,Maui County,1824,756,1068,517,225,65,168,142,142,24,123,11,81
315.02,Maui County,3631,1869,1762,886,972,239,288,262,97,11,50,485,437
315.03,Maui County,2716,1104,1612,534,510,19,31,203,281,117,45,302,106
316.01,Maui County,1416,1045,371,604,414,141,311,136,16,158,74,156,53
317,Maui County,2126,1678,448,935,559,447,274,168,46,431,83,131,98
318.01,Maui County,1362,837,525,524,255,384,88,40,12,116,58,56,83
319,Kalawao County,95,48,47,0,31,0,0,0,0,35,4,1,8
319,Maui County,1700,1541,159,774,669,52,195,502,25,150,71,335,211
32,Honolulu County,371,350,21,274,52,0,29,92,153,24,0,0,52
320,Maui County,915,441,474,336,85,25,99,129,83,20,1,31,53
33,Honolulu County,419,388,31,319,50,23,61,87,148,51,0,12,6
34.03,Honolulu County,3060,2834,226,1184,1557,500,399,275,10,210,373,636,431
34.04,Honolulu County,2407,2343,64,746,1476,182,366,184,14,121,255,839,382
34.05,Honolulu County,1961,1758,203,527,1173,257,182,88,0,116,388,556,171
34.06,Honolulu County,3004,2831,173,1151,1550,522,490,81,58,226,272,976,206
34.07,Honolulu County,543,428,115,190,208,41,54,83,12,30,51,56,101
35.01,Honolulu County,1421,1203,218,309,864,106,62,129,12,293,138,340,123
35.02,Honolulu County,2159,1975,184,758,1154,88,484,186,0,410,232,358,217
36.01,Honolulu County,2191,2034,157,393,1595,71,62,225,35,272,374,537,458
36.03,Honolulu County,1719,1488,231,397,1051,117,251,20,9,539,130,369,53
36.04,Honolulu County,1540,1349,191,431,903,190,186,37,18,15,118,575,210
37,Honolulu County,3683,2826,857,1388,1383,47,491,628,222,106,129,500,703
38,Honolulu County,2196,1981,215,821,1160,42,307,404,68,361,80,237,482
39,Honolulu County,287,259,28,18,241,14,4,0,0,188,13,40,0
4.01,Honolulu County,1020,1004,16,861,135,24,9,653,175,19,11,19,94
4.02,Honolulu County,1430,1370,60,1311,44,9,16,376,910,15,0,0,44
40,Honolulu County,1018,788,230,296,492,91,97,97,11,54,98,187,153
401.03,Kauai County,4235,2355,1880,1384,890,76,298,552,458,155,62,183,571
401.04,Kauai County,872,430,442,277,142,3,25,63,186,11,4,84,54
