Tract,County,Total_units,Occupied,Vacant,Owner_occupied,VALUE_Less50k,VALUE_50_99k,VALUE_100_149k,VALUE_150_199k,VALUE_200_299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,VALUE_Median,rent_units,RENT_less200,RENT_200_299,RENT_300_499,RENT_500_749,RENT_750_999,RENT_1k_1499,RENT_1k5up,RENT_Median,RENT_0
18.01,Honolulu County,1356,873,483,190,0,0,0,20,14,92,53,11,406100,675,0,41,0,89,93,268,184,1147,8
18.03,Honolulu County,2226,1761,465,491,0,7,6,26,116,296,40,0,351700,1262,33,0,0,108,246,421,454,1258,8
18.04,Honolulu County,1677,1061,616,368,10,0,0,0,39,244,75,0,366500,635,0,27,0,0,25,283,300,1375,58
19.01,Honolulu County,1652,345,1307,133,0,0,11,0,33,18,38,33,543300,212,0,0,0,16,15,96,85,1408,0
19.03,Honolulu County,2098,1578,520,634,30,32,19,0,42,257,246,8,462500,888,0,0,0,0,57,246,585,1671,56
19.04,Honolulu County,3068,2260,808,1046,31,63,93,25,122,563,124,25,347600,1126,0,42,0,0,139,410,535,1477,88
2,Honolulu County,1945,1872,73,1478,0,8,0,0,12,103,1105,250,771900,306,0,0,0,0,8,138,160,1590,88
20.03,Honolulu County,2238,1351,887,414,0,0,7,30,138,204,35,0,318600,920,0,0,0,60,48,581,231,1367,17
20.04,Honolulu County,1051,873,178,275,0,0,0,0,123,128,24,0,323800,585,0,0,0,0,61,324,200,1357,13
20.05,Honolulu County,1633,1225,408,334,0,19,0,13,0,217,67,18,421200,891,0,0,10,22,242,405,212,1171,0
20.06,Honolulu County,2108,1444,664,559,18,0,0,6,111,349,52,23,384500,816,0,0,0,61,54,389,312,1380,69
201,Hawaii County,2078,1826,252,1208,27,28,42,135,362,312,228,74,304000,552,18,76,92,79,26,215,46,865,66
202.02,Hawaii County,717,679,38,503,26,18,31,42,71,183,118,14,347400,127,0,0,4,14,38,33,38,1067,49
203,Hawaii County,2026,1709,317,527,12,75,47,26,143,162,62,0,266500,1120,8,75,98,398,316,142,83,744,62
204,Hawaii County,1563,1399,164,503,21,15,4,53,232,104,59,15,277700,841,82,86,6,171,203,248,45,786,55
205,Hawaii County,2612,2257,355,827,79,0,0,169,194,302,57,26,291100,1360,76,59,194,262,485,256,28,772,70
206,Hawaii County,2148,1625,523,1258,62,108,115,200,314,287,139,33,239300,329,5,0,5,56,101,135,27,993,38
207.01,Hawaii County,1870,1731,139,1188,34,60,52,103,366,498,75,0,295200,398,0,58,31,46,27,160,76,1072,145
207.02,Hawaii County,1815,1740,75,1574,26,0,0,75,495,824,124,30,328400,132,0,0,0,18,19,69,26,1158,34
208.01,Hawaii County,1548,1424,124,1114,0,9,6,108,337,490,148,16,324400,247,0,0,0,10,42,84,111,1436,63
208.02,Hawaii County,2491,2162,329,1775,30,40,94,132,371,773,278,57,341400,304,0,0,0,13,41,178,72,1211,83
209,Hawaii County,1719,1666,53,1243,47,0,11,44,296,607,224,14,350000,331,0,0,6,5,60,178,82,1251,92
21,Honolulu County,1827,1684,143,401,27,0,0,11,155,134,74,0,311900,1220,0,0,0,78,328,605,209,1172,63
210.03,Hawaii County,2306,2031,275,1455,14,111,198,357,474,181,105,15,209500,473,0,0,22,71,149,231,0,992,103
210.05,Hawaii County,3937,3388,549,2059,0,20,372,193,849,513,112,0,268500,955,0,43,0,67,221,477,147,1106,374
210.1,Hawaii County,3280,2457,823,1736,112,269,231,276,550,240,58,0,195800,528,6,4,41,129,75,227,46,1011,193
210.11,Hawaii County,1799,1282,517,885,26,33,38,120,335,223,99,11,245800,246,0,0,77,47,13,109,0,695,151
210.13,Hawaii County,1693,1531,162,1013,22,75,55,194,210,298,159,0,273700,423,12,17,10,183,65,105,31,746,95
211.01,Hawaii County,1843,1341,502,997,17,60,206,119,349,169,64,13,222000,273,0,0,0,114,23,79,57,983,71
211.06,Hawaii County,3242,2505,737,1697,74,248,251,376,493,242,7,6,186100,675,15,3,40,119,161,265,72,999,133
212.02,Hawaii County,3964,2758,1206,1977,240,309,278,255,508,352,22,13,168300,580,19,17,100,201,72,161,10,719,201
213,Hawaii County,2780,2130,650,1363,20,73,60,65,207,412,413,113,414600,635,6,0,47,102,104,183,193,1096,132
214.02,Hawaii County,1530,1382,148,735,3,4,39,20,86,271,262,50,460400,603,29,75,34,127,67,116,155,905,44
215.02,Hawaii County,2141,1705,436,1051,3,25,0,36,66,98,493,330,769500,555,9,6,42,12,137,176,173,1167,99
215.04,Hawaii County,1420,1329,91,627,49,3,20,41,197,208,109,0,302300,686,41,38,20,119,159,262,47,899,16
215.07,Hawaii County,3815,2964,851,2281,32,0,0,20,195,1049,796,189,457700,683,0,8,29,96,44,117,389,1591,0
215.09,Hawaii County,3796,2246,1550,1337,31,3,7,98,175,369,484,170,492800,847,0,13,50,101,97,233,353,1388,62
216.01,Hawaii County,4316,3029,1287,1639,46,34,74,199,195,441,548,102,394900,1271,43,25,129,25,401,510,138,1015,119
216.04,Hawaii County,4533,3330,1203,1902,0,13,59,173,198,611,618,230,467200,1396,0,0,15,65,233,439,644,1432,32
217.02,Hawaii County,3658,3196,462,2024,56,5,24,70,315,775,624,155,434400,924,20,70,14,66,103,195,456,1462,248
217.04,Hawaii County,6061,3058,3003,2133,3,0,22,44,246,1126,519,173,437300,858,0,0,0,106,34,201,517,1727,67
218,Hawaii County,2423,1865,558,1377,20,4,28,50,229,649,280,117,378200,414,0,9,8,35,126,132,104,1084,74
219.02,Hawaii County,1480,1295,185,907,2,0,16,79,124,363,287,36,423200,315,0,4,7,63,59,150,32,1106,73
22.01,Honolulu County,1782,1631,151,570,40,30,31,0,84,246,139,0,348800,1035,0,0,10,63,350,380,232,1092,26
22.02,Honolulu County,1905,1802,103,898,18,0,0,72,102,557,149,0,384300,904,0,17,0,29,109,325,424,1443,0
220,Hawaii County,975,865,110,592,0,6,62,44,66,197,147,70,409200,182,0,0,0,54,46,69,13,790,91
221.02,Hawaii County,832,651,181,535,0,3,48,31,177,127,146,3,311600,112,0,15,7,9,58,16,7,872,4
23,Honolulu County,2643,2524,119,880,54,31,38,38,198,436,53,32,341500,1557,0,44,42,109,491,627,244,1068,87
24.01,Honolulu County,1472,1472,0,314,10,0,0,10,79,66,98,51,486200,1151,0,0,0,186,189,529,247,1166,7
24.02,Honolulu County,1680,1629,51,455,7,0,0,6,134,245,63,0,349100,1143,20,26,60,39,262,620,116,1115,31
25,Honolulu County,2154,1937,217,398,0,0,27,0,116,88,97,70,383600,1458,17,11,68,150,408,656,148,1050,81
26,Honolulu County,2045,1920,125,496,24,10,0,6,116,230,90,20,343600,1295,9,49,79,99,269,631,159,1096,129
27.01,Honolulu County,905,852,53,209,0,6,0,0,42,0,102,59,758000,566,0,0,40,50,92,250,134,1178,77
27.02,Honolulu County,2211,2087,124,985,26,0,12,0,237,296,288,126,417400,1102,0,0,50,55,196,412,389,1306,0
28,Honolulu County,1525,1496,29,1079,23,0,0,0,0,160,849,47,741500,350,0,0,0,11,32,76,231,1846,67
29,Honolulu County,845,806,39,406,0,0,0,0,0,7,175,224,"1,000,000",379,0,0,0,5,14,283,77,1167,21
3.01,Honolulu County,1169,1080,89,880,0,0,8,0,0,26,452,394,932700,149,0,0,0,5,0,44,100,1713,51
3.02,Honolulu County,1079,1000,79,832,8,11,32,0,8,9,528,236,872500,124,0,0,0,25,0,32,67,1647,44
