SchCode,Year,CountOfSSN,SumOfFTE,TeachersFullyLicCnt,TeachersProvCredCnt,TeachersEmgcyCredCnt,TeachersRegSum,TeachersHeadCnt,TeachersAdminSum,TeacherSupSum,TeacherSpedSum,TeachersMiscSum,TeachersCounsSum,TeachersLibrSum,TeachersFullyLicPct,TeachersProvCredPct,TeachersEmgcyCredPct,TeachersRegPct,TeachersHeadPct,TeachersAdminPct,TeachersSupPct,TeachersSpedPct,TeachersMiscPct,TeachersCounsPct,TeachersLibrPct,AvgTerm,AvgAge,MasterCnt,DoctorCnt,ClassesTaughtByNotHQT,TotalClassPeriods,ClassesTaughtByHQTPct,ClassesNotTaughtBYHQTPct,TotalTerm,RosterCount,RegularRatio,SPEDRatio,Staff5Years,PrincipalCount,TotalofPeriods,TotofPeriodsNotTaughtbyHQV6Z,ClassNotTaughtbyHQTchrs
"371","2013",44,38,31,0,7,29,38,3.5,2,7,0,1,1,.81578947,0,.18421053,.76315789,.86363636,.09210526,.05263158,.18421053,0,.02631579,.02631579,11.584211,0,15,0,0,0,0,0,440.2,38,19.655172,7,21,2,132,4,.03030303
"372","2013",27,24,24,0,0,19,24,1,1,4,0,1,1,1,0,0,.79166667,.88888889,.04166667,.04166667,.16666667,0,.04166667,.04166667,14.804167,0,9,0,0,0,0,0,355.3,24,17.842105,11.25,17,2,126,0,0
"373","2013",26,19.5,19,0,1,13.5,20,4.5,0,6,0,1,0,.95,0,.05,.69230769,.76923077,.23076923,0,.30769231,0,.05128205,0,17.835,0,6,0,0,0,0,0,356.7,20,16,8,17,2,81,23,.28395062
"374","2013",52,43,41,0,2,34,43,4,1,8,2,2,1,.95348837,0,.04651163,.79069767,.82692308,.09302326,.02325581,.18604651,.04651163,.04651163,.02325581,12.337209,0,10,2,0,0,0,0,530.5,43,18.617647,9.25,26,1,175,16,.09142857
"375","2013",39,35,32,0,3,28,35,2,1,6,0,1,1,.91428571,0,.08571429,.8,.8974359,.05714286,.02857143,.17142857,0,.02857143,.02857143,16.048571,0,10,0,0,0,0,0,561.7,35,18.642857,5.6666667,22,1,130,0,0
"376","2013",43,37,31,0,6,30,37,4,1,6,0,1,1,.83783784,0,.16216216,.81081081,.86046512,.10810811,.02702703,.16216216,0,.02702703,.02702703,11.102703,0,12,0,0,0,0,0,410.8,37,15.666667,10.166667,16,2,142,31,.21830986
"377","2013",7,7,7,0,0,2,7,0,0,5,0,0,0,1,0,0,.28571429,1,0,0,.71428571,0,0,0,5.7428571,0,1,0,0,0,0,0,40.2,7,81,7.8,1,2,47,9,.19148936
"378","2013",19,13.5,13,0,1,11.5,14,3,0,2,0,1,1,.92857143,0,.07142857,.85185185,.73684211,.22222222,0,.14814815,0,.07407407,.07407407,10.435714,0,4,0,0,0,0,0,146.1,14,14.173913,7,8,2,71,7,.09859155
"379","2013",47,38,38,0,0,28,38,5,0,10,2,2,0,1,0,0,.73684211,.80851064,.13157895,0,.26315789,.05263158,.05263158,0,12.531579,0,16,0,0,0,0,0,476.2,38,17.107143,5.3,19,2,138,5,.03623188
"380","2013",36,30,29,0,1,20,30,3,4,6,2,1,0,.96666667,0,.03333333,.66666667,.83333333,.1,.13333333,.2,.06666667,.03333333,0,7.64,0,9,0,0,0,0,0,229.2,30,18,4.6666667,15,2,84,0,0
"381","2013",36,27,27,0,0,20,27,5,1,6,2,2,0,1,0,0,.74074074,.75,.18518519,.03703704,.22222222,.07407407,.07407407,0,11.255556,0,8,0,0,0,0,0,303.9,27,20.9,8.6666667,13,3,138,0,0
"382","2013",21,17,14,0,3,14,17,2,0,3,0,2,0,.82352941,0,.17647059,.82352941,.80952381,.11764706,0,.17647059,0,.11764706,0,11.929412,0,9,0,0,0,0,0,202.8,17,15.142857,6.6666667,8,1,84,17,.20238095
"383","2013",61,50,49,0,1,35,50,7,3,12,2,2,0,.98,0,.02,.7,.81967213,.14,.06,.24,.04,.04,0,15.394,0,24,0,0,0,0,0,769.7,50,15.542857,10.416667,32,2,270,51,.18888889
"384","2013",54,48,47,0,1,42,48,3,0,6,0,2,1,.97916667,0,.02083333,.875,.88888889,.0625,0,.125,0,.04166667,.02083333,14.927083,0,14,0,0,0,0,0,716.5,48,19.119048,7.8333333,34,2,145,1,.00689655
"385","2013",60,52,52,0,0,44,52,4,0,8,0,3,1,1,0,0,.84615385,.86666667,.07692308,0,.15384615,0,.05769231,.01923077,15.484615,0,15,0,0,0,0,0,805.2,52,16.568182,14.375,35,2,209,9,.0430622
"386","2013",50,45,45,0,0,35,45,2,1,9,0,2,1,1,0,0,.77777778,.9,.04444444,.02222222,.2,0,.04444444,.02222222,14.931111,0,9,0,0,0,0,0,671.9,45,18.628571,8.5555556,26,1,127,4,.03149606
"387","2013",41,36,32,0,4,28,36,3,2,6,1,1,0,.88888889,0,.11111111,.77777778,.87804878,.08333333,.05555556,.16666667,.02777778,.02777778,0,11.694444,0,16,0,0,0,0,0,421,36,18.25,6.8333333,21,1,120,0,0
"388","2013",75,65.5,65,0,1,48.5,66,4,1,16,0,4,1,.98484848,0,.01515152,.74045802,.88,.0610687,.01526718,.24427481,0,.0610687,.01526718,10.684848,0,27,0,0,0,0,0,705.2,66,19.278351,6,35,1,201,0,0
"389","2013",84,69.5,70,0,0,55.5,70,7,1,13,0,6,1,1,0,0,.79856115,.83333333,.10071942,.01438849,.18705036,0,.08633094,.01438849,16.035714,0,25,0,0,0,0,0,1122.5,70,18.216216,11.384615,51,1,257,25,.09727626
"390","2013",54,48.5,44,0,5,36.5,49,5,2,10,0,0,0,.89795918,0,.10204082,.75257732,.90740741,.10309278,.04123711,.20618557,0,0,0,14.220408,0,16,0,0,0,0,0,696.8,49,17.315068,8.2,34,2,243,9,.03703704
"391","2013",53,44.5,44,0,1,31.5,45,3,0,13,2,2,1,.97777778,0,.02222222,.70786517,.8490566,.06741573,0,.29213483,.04494382,.04494382,.02247191,11.613333,0,15,0,0,0,0,0,522.6,45,17.079365,5.4615385,27,1,168,5,.0297619
"392","2013",100,81,77,0,6,62,83,8,3,16,2,5,2,.92771084,0,.07228916,.7654321,.83,.09876543,.03703704,.19753086,.02469136,.0617284,.02469136,10.43494,0,25,2,0,0,0,0,866.1,83,21.419355,8.875,50,1,255,21,.08235294
"393","2013",57,50.5,44,0,7,42.5,51,4,0,8,0,1,1,.8627451,0,.1372549,.84158416,.89473684,.07920792,0,.15841584,0,.01980198,.01980198,9.6980392,0,18,0,0,0,0,0,494.6,51,17.105882,9.625,29,1,233,14,.06008584
"394","2013",7,23.5,22,0,2,16,24,4,3.5,4,0,1.6,0,1,0,0,.28571429,1,0,0,.71428571,0,0,0,12,0,13,0,0,0,0,0,71.9,7,14.8125,9,17,3,73,13,.17808219
"395","2013",31,26,26,0,0,21,26,3,0,5,0,1,1,1,0,0,.80769231,.83870968,.11538462,0,.19230769,0,.03846154,.03846154,15.680769,0,10,0,0,0,0,0,407.7,26,16.714286,10.8,18,2,108,4,.03703704
"396","2013",6,6,6,0,0,2,6,0,0,4,0,0,0,1,0,0,.33333333,1,0,0,.66666667,0,0,0,7.2166667,0,3,0,0,0,0,0,43.3,6,148,13.25,1,0,74,14,.18918919
"397","2013",2,2,2,0,0,1,2,0,0,1,0,0,0,1,0,0,.5,1,0,0,.5,0,0,0,20.85,0,0,0,0,0,0,0,41.7,2,216,20,1,0,98,46,.46938776
"398","2013",1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3.2,0,0,0,0,0,0,0,3.2,1,0,10,0,0,42,27,.64285714
"399","2013",16,16,16,0,0,15,16,0,0,1,0,0,0,1,0,0,.9375,1,0,0,.0625,0,0,0,12.43125,0,8,0,0,0,0,0,198.9,16,13.666667,15,10,0,157,13,.08280255
