SchCode,Year,SubgroupCode,GoingCountN,GoingTotalD,GoingRate,CreditCountN,CreditTotalD,CreditRate
214,2013,16,80,135,0.592592593,39,53,0.735849057
214,2013,17,46,124,0.370967742,6,22,0.272727273
214,2013,19,39,65,0.6,19,31,0.612903226
216,2013,1,416,570,0.729824561,197,295,0.66779661
216,2013,2,34,73,0.465753425,12,24,0.5
216,2013,3,25,58,0.431034483,3,14,0.214285714
216,2013,4,6,15,0.4,3,6,0.5
216,2013,6,11,24,0.458333333,3,6,0.5
216,2013,7,17,21,0.80952381,6,11,0.545454545
216,2013,8,3,3,1,0,0,-1
216,2013,9,56,73,0.767123288,24,35,0.685714286
216,2013,10,189,289,0.653979239,90,138,0.652173913
216,2013,11,227,281,0.807829181,107,157,0.681528662
216,2013,16,220,276,0.797101449,121,161,0.751552795
216,2013,17,70,116,0.603448276,19,40,0.475
216,2013,19,39,57,0.684210526,24,42,0.571428571
218,2013,1,369,492,0.75,153,232,0.659482759
218,2013,2,55,83,0.662650602,25,37,0.675675676
218,2013,3,12,25,0.48,3,12,0.25
218,2013,4,10,17,0.588235294,4,7,0.571428571
218,2013,6,24,30,0.8,1,4,0.25
218,2013,7,14,20,0.7,0,4,0
218,2013,8,1,2,0.5,3,3,1
218,2013,9,30,54,0.555555556,4,12,0.333333333
218,2013,10,189,265,0.713207547,77,124,0.620967742
218,2013,11,180,227,0.792951542,76,108,0.703703704
218,2013,16,220,270,0.814814815,114,154,0.74025974
218,2013,17,47,68,0.691176471,12,23,0.52173913
218,2013,19,33,48,0.6875,19,32,0.59375
224,2013,1,159,254,0.625984252,42,90,0.466666667
224,2013,2,32,54,0.592592593,6,13,0.461538462
224,2013,3,6,18,0.333333333,0,2,0
224,2013,4,6,14,0.428571429,2,4,0.5
224,2013,6,21,30,0.7,3,6,0.5
224,2013,7,6,21,0.285714286,2,3,0.666666667
224,2013,8,0,2,0,0,0,-1
224,2013,9,60,83,0.722891566,8,21,0.380952381
224,2013,10,82,140,0.585714286,22,45,0.488888889
224,2013,11,77,114,0.675438596,20,45,0.444444444
224,2013,16,44,61,0.721311475,22,36,0.611111111
224,2013,17,19,35,0.542857143,3,8,0.375
224,2013,19,9,22,0.409090909,4,16,0.25
232,2013,1,66,96,0.6875,9,26,0.346153846
232,2013,2,31,48,0.645833333,3,13,0.230769231
232,2013,3,1,6,0.166666667,0,3,0
232,2013,4,3,4,0.75,1,3,0.333333333
232,2013,6,0,1,0,0,0,-1
232,2013,7,2,2,1,1,1,1
232,2013,8,0,0,-1,0,0,-1
232,2013,9,10,15,0.666666667,0,2,0
232,2013,10,27,47,0.574468085,6,12,0.5
232,2013,11,39,49,0.795918367,3,14,0.214285714
232,2013,16,35,50,0.7,2,11,0.181818182
232,2013,17,19,27,0.703703704,4,10,0.4
232,2013,19,0,1,0,2,2,1
252,2013,1,316,563,0.561278863,89,215,0.413953488
252,2013,2,121,252,0.48015873,23,74,0.310810811
252,2013,3,19,43,0.441860465,3,10,0.3
252,2013,4,13,29,0.448275862,2,7,0.285714286
252,2013,6,17,21,0.80952381,1,3,0.333333333
252,2013,7,21,37,0.567567568,2,5,0.4
252,2013,8,4,5,0.8,0,1,0
252,2013,9,31,55,0.563636364,3,12,0.25
252,2013,10,131,268,0.48880597,53,111,0.477477477
252,2013,11,185,295,0.627118644,36,104,0.346153846
252,2013,16,183,287,0.637630662,58,131,0.442748092
252,2013,17,60,157,0.382165605,10,33,0.303030303
252,2013,19,0,1,0,15,30,0.5
263,2013,1,50,116,0.431034483,19,40,0.475
