State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3
CO,,,,,0.114107884,0.013927577,-0.188085106,-0.124113475,-0.011173184,0.026556777,0.150943396,0.022267206,-0.069679849,-0.131132917,-0.094717668,-0.007920792,-0.012145749,0.049281314,-0.5,-0.548902196,0.069672131,0.047945205,1.269617706,1.466814159,0.097701149,0.045751634,0.028368794,0.04573991,-0.012216405,0.0375,0.052586207,-0.02915952,0.012367491,0,-0.005733006,-0.008833922,-0.047120419,-0.068846816,-0.138385502,-0.146167558,-0.115384615,-0.033271719,0.038240918,0.212943633,0.214285714,0.078393881,0.082872928,0.04302926,-0.011082694,0.05141844,0.042517007,-0.153465347,-0.006896552,0,0.003262643,0.1208577,0.012152778,0.072512648,0.047154472,0.073913043,0.092624357,0.040880503,0.187888199,0.075303644,-0.086342229,-0.163141994,-0.214379085,-0.070783133,0.048109966,0.085740072,0.024958403,0.037277147,0.140983607,0.211970075,0.168831169,0.125,0.034482759,0.043209877,0.083333333,0.022222222,0.023611111,0.020381328,0.05
PA,,,,,-0.014900662,0.00477707,0,0.019785655,0.053781513,-0.042789223,-0.030645161,-0.046887631,-0.073365231,-0.059602649,-0.063227953,-0.041560645,-0.039586919,0.01584507,0.076376554,0.001769912,0.051971326,0.046793761,0.00330033,0.050353357,0.055366269,-0.005794702,-0.032894737,-0.026913373,-0.034705408,0.032472939,0.040816327,0.035436474,0.005852843,0.006451613,0.068627451,0.048414023,0.00166251,0.050480769,0.001529052,-0.025477707,0.063070539,-0.016781083,-0.010687023,0.039215686,-0.041373927,-0.030256012,-0.023919753,-0.046383648,0.008143322,-0.0048,0.008695652,0.037098104,0.025848142,0.093247588,0.054858934,0.034976153,-0.009448819,-0.023529412,-0.013372957,-0.019969278,0.036565978,0.063253012,0.182228916,0.123824451,0.030674847,0,-0.057324841,0.020920502,0.075892857,0.067988669,0.047297297,0.057377049,0.131396957,0.179045093,0.147096774,0.161498708,0.077628362,0.102362205,0.101799775,-0.03003337,-0.027793534,-0.066326531,-0.052577846
MI,,,,,-0.02173913,0.008583691,0.003338898,-0.004991681,-0.008547009,0.002553191,-0.021630616,-0.023411371,-0.029310345,-0.067911715,-0.074829932,-0.070205479,-0.060390764,0.016393443,0.060661765,0.012891344,0.049149338,0.025089606,0.060658579,0.009090909,0.07027027,0.052447552,0,0.034234234,-0.003367003,0.03986711,0.029411765,0.135888502,0.040540541,-0.013578275,0.046031746,-0.009202454,0.037337662,0.04291498,0.037936267,0,-0.015649452,0.000776398,-0.065789474,-0.012383901,0.00317965,-0.017843289,0.034428795,-0.031347962,0.01822504,0.018957346,-0.012102874,0.026699029,0.00233463,0.051162791,0.045941807,0.059101655,0.040372671,0.018436578,0.057101025,0.02827381,0.064179104,0.005068791,0.079639889,0.063675832,-0.079943899,-0.023775216,-0.095574086,-0.005442177,0.05945122,0.04797048,0.024113475,0.066347469,0.11942446,0.235915493,0.108725762,0.117382938,0.100899743,0.089458689,0.211742661,0.030998852,0.05545826,-0.036610879,0.027835052
GA,,,,,-0.026408451,-0.252863436,-1,-0.026094276,-0.820976492,-0.971698113,#DIV/0!,-1,1.237373737,27.33333333,#DIV/0!,#DIV/0!,-0.151241535,0.576470588,0.461904762,0.664335664,2.122340426,0.063432836,0.235613464,0.199579832,0.074105622,0.087719298,-0.09314587,0.070052539,-0.010309278,-0.111290323,-0.007751938,-0.057283142,-0.009615385,0.065335753,0.1796875,-0.092013889,-0.237864078,-0.111584327,-0.111754967,0.022944551,0.027600849,0.094918504,0.107176142,0.104672897,0.243801653,0.066549912,0.074074074,-0.045685279,-0.053156146,0.024630542,-0.012539185,0.076241135,0.00877193,0.003205128,0.058730159,0.060955519,0.276521739,0.201277955,0.145427286,0.102484472,-0.03133515,-0.025265957,-0.02617801,0.032394366,0.030942335,-0.015006821,-0.018817204,0.02319236,0.004092769,0.019390582,0.070547945,0.082666667,0.163043478,0.222826087,0.050543826,0.088054187,-0.003504673,0.07,0.171741778,-0.006791171,0.031652989,-0.049844237,0.043659044
MO,,,,,0.050403226,0.025782689,-0.064864865,-0.065180103,-0.055662188,-0.062836625,-0.140655106,-0.016513761,0.06097561,-0.022030651,-1,-0.513059701,-0.072796935,-0.414299706,#DIV/0!,0.793103448,0.123966942,0.969899666,0.34939759,0.224358974,0.112132353,0.066213922,0.012175325,0.069808028,0.008264463,-0.012738854,0.01042502,0.029363785,0.031967213,0.040322581,0.06031746,-0.038034865,-0.092930898,-0.035658915,-0.064371257,-0.075782537,0.033274956,-0.019292605,-0.0232,0.062388592,0.022033898,-0.006557377,0.017199017,-0.008389262,0.014925373,0.01980198,0.043478261,0.095600677,0.047385621,0.098705502,0.061728395,-0.01003861,0.031201248,0.016200295,0.031976744,0.071762871,0.036308623,0.034782609,0.133802817,0.093886463,-0.150364964,-0.1232493,-0.140372671,-0.059214904,0.217353952,0.089456869,0.014450867,-0.015558699,0.028934368,0.146627566,0.123931624,0.130747126,0.112482853,0.101023018,0.112801014,0.022871665,-0.022194821,-0.030197445,0.004555809
MN,,,,,0.136752137,0.11752988,0.089928058,0.039451115,-0.238721805,0.034759358,-0.02310231,-0.03960396,0.316049383,-0.047372954,-0.039695946,-0.041237113,-0.005628518,-0.021699819,0.077396658,0.034050179,0.037735849,0.118299445,0.008979592,-0.022530329,0.018181818,0.024793388,0.00566343,0.02570922,0.030357143,0.016129032,0.013676589,0.094209162,0.012131716,-0.041269841,0.042857143,-0.011058452,0.077054795,0.092715232,0.01065449,0.046325879,0.034976153,0.01969697,-0.003012048,0.054961832,-0.004608295,-0.086181278,0.005287009,-0.039073806,0.069444444,0.050406504,-0.018031555,-0.079066265,-0.043290043,0.078947368,0.049732211,0.109566639,0.034690799,-0.014347202,0.029154519,0.014001474,0.016034985,-0.018922853,0.09631728,0.034883721,0.031563845,-0.052670623,-0.135658915,-0.047752809,-0.109874826,-0.003915427,0.032137519,0.159292035,0.19375,0.364779874,0.160028965,0.080152672,0.059554974,0.02016129,0.147315855,0.001177856,0.085855466,-0.002823264,0.008705114
UT,,,,,-0.006302521,0.071588367,0.071588367,-0.174946004,-0.135306554,-0.06263048,-0.017745303,0.151832461,-0.295843521,-0.240534521,-0.307120085,-1,-0.423611111,-0.099706745,0.021472393,#DIV/0!,0.909638554,0.071661238,0.237237237,0.370491803,0.56466877,0.53343465,0.196601942,0.167464115,0.016129032,-0.042616452,0.00811359,-0.0625,-0.075396825,0.031055901,-0.024144869,-0.233879781,-0.182403433,-0.102409639,-0.043298969,0.27532097,0.173228346,0.035794183,0.051724138,0.102908277,0.070469799,0.062634989,0.075819672,-0.062880325,0.017763845,0.00203252,0.022857143,0.095238095,0.061601643,0.123732252,0.04283054,0.045454545,0.048355899,0.042418773,0.107142857,0.119092628,0.05904059,0.096103896,0.037096774,0.086148649,0.00174216,-0.101105845,-0.082426128,-0.035769829,0.031304348,0.065026362,0.045762712,0.011290323,0.10623946,0.163366337,0.068881686,0.018341308,-0.019817073,0.129078014,0.173616376,0.13155834,0.057542768,-0.108040201,0.034883721
NV,,,,,0.021798365,0.081364829,0.172506739,0.135734072,0.032,-0.082524272,-0.179310345,-0.056097561,-0.029715762,0.010582011,0.019607843,-0.067183463,-0.086551265,0.023560209,0.160714286,0.101108033,0.086005831,-0.074168798,0.057988166,0.008805031,0.138255034,0.116022099,-0.102908277,0.024937656,-0.103773585,0.068069307,0.064837905,0.03892944,0.143421053,0.089223638,0.18969555,0.035128806,0.001150748,-0.057446809,-0.086614173,-0.011312217,-0.071264368,0.004514673,-0.015086207,0.022883295,0.066831683,0.069662921,0.073304158,0.046979866,0.069605568,-0.069327731,-0.027522936,-0.092948718,-0.052060738,0.11738149,0.016771488,0.116607774,-0.009153318,-0.056565657,0.050515464,0.02742616,0.133949192,0.259100642,0.305201178,0.352156057,-0.048879837,-0.164965986,-0.231578947,-0.127562642,0.143468951,0.061099796,0.015655577,-0.079199304,-0.119850187,0.103646833,0.069364162,-0.058601134,0.095744681,-0.04173913,-0.084684685,0.035140562,-0.108737864,0.030852995,0.236220472
OH,,,,,0.006055363,-0.028806584,0.040069686,-0.015332198,0.026655202,-0.020338983,-0.02680067,-0.041522491,-0.100502513,-0.088235294,-0.13080895,-0.166064982,-0.115456238,-0.017077799,0.023762376,0.134199134,0.178947368,0.140926641,0.13926499,0.110687023,0.139285714,0.041455161,0.054329372,0.005154639,-0.051724138,0.013809911,-0.003220612,-0.01025641,-0.003305785,-0.011217949,0.037156704,0.027633851,-0.066334992,-0.034035656,-0.04517134,-0.01512605,0.031971581,-0.005033557,-0.03588907,0,0.04130809,0.040472175,0.045685279,-0.011945392,-0.00661157,0.004862237,0.029126214,0.074265976,0.049916805,0.088709677,0.110062893,0.045016077,0.031695721,0.011851852,-0.025495751,0.021538462,0.087557604,0.043923865,0.203488372,0.127259036,-0.079096045,-0.074333801,-0.140096618,-0.04742819,0.07898773,0.078787879,0.068820225,0.03085554,0.127221038,0.201544944,0.11826544,0.191156463,0.096469105,0.128579778,0.128084606,0.040548258,-0.027027027,-0.030554117,0.01875
MA,,,,,-0.019213175,0,0.089108911,0.017964072,0.083955224,-0.017857143,-0.054545455,-0.03697479,-0.012048193,0.014545455,-0.041958042,-0.003490401,-0.052264808,0.015232975,0.069343066,0.004378284,0.005514706,0.01059135,0.001706485,0.030514385,0.085009141,-0.011353712,-0.088586031,-0.07106599,-0.041280539,0.06360424,0.123364486,0.092896175,0.019332162,0.003322259,0.06655574,-0.046666667,-0.038793103,-0.046357616,-0.081123245,-0.013986014,0.08161435,0.076388889,0.05942275,0.094858156,-0.013266998,0.009677419,0.011217949,-0.081781377,0.005042017,0.004792332,0.030110935,0.118165785,0.088628763,0.101748808,0.08,0.047318612,-0.014592934,-0.001443001,0.04985755,0.079066265,0.081839439,0.075144509,0.185888738,0.0551291,-0.154899135,-0.145833333,-0.163615561,0.001322751,0.176470588,0.161290323,0.091655267,0.021136063,0.124637681,0.154471545,0.072681704,0.204398448,0.038659794,0.107981221,0.129088785,-0.094522019,-0.058312655,-0.049788136,0.061562338
