State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3
NC,,,,,-0.091666667,-0.091666667,0.054675119,0.061139028,-0.02293578,-0.044342508,-0.01728024,-0.056037885,-0.062597809,-0.0864,-0.163608563,-0.029264214,-0.086811352,0.046409807,0.115173675,0.017226529,0.148080439,0.069456067,0.029508197,0.053344623,0.03343949,-0.020344288,-0.003184713,-0.004823151,-0.030816641,0.038338658,0.07827476,0.032310178,0.049284579,-0.013846154,-0.005925926,-0.035211268,-0.036363636,0.007800312,-0.028315946,0.0405515,0.007861635,0.004643963,-0.049079755,-0.041309431,-0.014040562,-0.012326656,0.027419355,-0.001626016,-0.012658228,-0.012480499,0.032967033,0.060260586,0.078525641,0.129541864,0.080547112,0.052227343,-0.050520059,-0.018181818,0.015471167,0.012408759,0.112676056,0.062678063,0.141274238,0.12112473,-0.097046414,-0.078418231,-0.10315534,-0.045659164,0.056074766,0.041454545,-0.00270636,0.030997305,0.18879056,0.219273743,0.181818182,0.195424837,0.101116625,0.103665521,0.086107922,-0.090213231,-0.116619718,-0.126621692,-0.096194503
MD,,,,,-0.058267717,-0.004709576,-0.047543582,-0.004731861,0.055183946,-0.012618297,0.041597338,-0.036450079,-0.045958796,-0.042332268,-0.049520767,-0.042763158,-0.063953488,0.061718098,0.072268908,0.018900344,0.116237799,0.013354281,0.045454545,0.090219224,0,0.018604651,-0.065967016,0.000773395,0.070747218,0.028158295,0.136436597,0.089644513,0.049740163,0.002220577,0.042372881,-0.080851064,-0.152050919,0.050221566,-0.036585366,0.078703704,0.010842369,-0.052039381,-0.092827004,-0.101573677,0.066006601,-0.028189911,0.012403101,0.015923567,-0.012383901,-0.018320611,0.010719755,0.04153605,0.028213166,0.16407465,0.122727273,-0.015801354,-0.024390244,-0.032064128,0.013495277,0.091743119,0.12578125,0.093167702,0.229027963,0.180672269,-0.063844552,-0.126262626,-0.182015168,-0.03024911,0.163083766,0.186416185,0.156291391,0.050152905,0.103887827,0.138855055,0.02978236,0.117064648,0.08891455,0.109090909,0.112347052,-0.022940563,-0.037645811,-0.083895853,-0.028
TN,,,,,0.031690141,-0.011725293,0.024778761,0.014529915,0.005972696,0.011016949,-0.010362694,-0.047177759,-0.055131467,-0.096395641,-0.040139616,-0.07515473,-0.126570916,0.038033395,-0.005454545,0.080305927,0.210688592,0.038427167,0.151736746,0.076106195,0.040747029,0.055077453,-0.031746032,0.057565789,-0.034257749,0.032626427,0.086885246,-0.021772939,0.060810811,0.02685624,0.027149321,-0.007949126,-0.020700637,-0.031538462,-0.033773862,0.033653846,0.031707317,-0.010325655,-0.088905775,-0.072093023,-0.043341214,0.016051364,0.072560467,-0.039264829,0.02306425,-0.004739336,0.00311042,0.095652174,0.064412238,0.111111111,0.082945736,0.09047619,0.013615734,0.009285714,0.047959914,0.017467249,0.07761194,0.0502477,0.151639344,0.04148784,-0.060249307,-0.098382749,-0.144721234,0.01510989,0.070007369,0.12406577,0.013869626,-0.01962111,0.049586777,0.130319149,0.146374829,0.235334714,0.188976378,0.143529412,0.087112172,-0.03575419,0.004415011,-0.016460905,0.146542261
KY,,,,,-0.037649219,-0.03046595,-0.976424361,-0.011535049,-0.977099237,-0.988909427,-1,-1,-0.5,-1,#DIV/0!,#DIV/0!,-1,#DIV/0!,2.472312704,#DIV/0!,#DIV/0!,0.072106262,0.114446529,0.101694915,0.066202091,0.118584071,-0.006734007,-0.032478632,-0.054738562,-0.109177215,-0.06779661,-0.021201413,0.00605013,0.026642984,0.111818182,-0.029783394,-0.096219931,-0.01384083,-0.079313164,0.03255814,0.042775665,0.033333333,0.000888099,0.01981982,0.053783045,-0.020373514,0.038154392,-0.035335689,-0.024221453,0.03812825,0.027350427,0.023809524,-0.033687943,0.01836394,0.063227953,0.100178891,0.181651376,0.157377049,0.131455399,0.118699187,0.107142857,0.039660057,0.015214385,0.066860465,-0.071528752,-0.053133515,-0.006811989,0.004087193,0.01510574,0.015827338,0.03223594,0.002713704,0.123511905,0.188385269,0.077740864,0.147496617,0.141721854,0.115613826,0.102342787,-0.024764151,-0.005220418,-0.009081197,0.048098434
IN,,,,,-0.006734007,-0.009966777,0.021186441,-0.069124424,0.018644068,0.023489933,-0.013278008,-0.034653465,-0.073211314,-0.140163934,-0.063078217,-0.044444444,-0.069120287,0.056244042,0.070017953,-0.001788909,0.099324976,0.041516245,-0.010067114,0.037634409,0.068421053,0.071057192,0.026271186,0.054404145,0.019704433,0.03236246,0.043765483,-0.002457002,0.01610306,0.02507837,0.037974684,-0.001642036,-0.057052298,-0.05351682,0.021341463,0.012335526,0.010084034,-0.024232633,-0.111940299,-0.038180341,-0.03577371,0.013245033,0.03697479,-0.033783784,0.044003451,0.004084967,0.022690438,0.076923077,0.05785124,0.120423108,0.103011094,0.105519481,0.0015625,0.003631082,0.031609195,-0.010279001,0.040561622,0.047033285,0.179665738,0.24925816,-0.020989505,-0.07740152,-0.121605667,-0.116983373,0.08805513,0.114606742,0.051075269,-0.020174849,0.083743842,0.142473118,0.126598465,0.166781057,0.162337662,0.125882353,0.133371169,0.047058824,0.006703911,-0.03030303,-0.012518778
WI,,,,,0.003424658,0.023215821,0.090744102,0.025423729,0.020477816,0,0,-0.044628099,-0.053511706,-0.099159664,-0.059900166,0.001730104,-0.065371025,0.024253731,-0.024778761,-0.018998273,0.04536862,0.066484517,0.152450091,0.00528169,0.094936709,0.101622545,-0.028346457,0.119089317,-0.028901734,0,0.089951378,-0.037558685,0.047619048,-0.003100775,0.043122677,-0.001626016,0.040584416,0.003888025,-0.047754811,0.017915309,-0.031201248,0.0116189,-0.026946108,0.04,0.033816425,-0.016845329,0.001538462,-0.086153846,0.021806854,0.001557632,0.047619048,0.101010101,0.036585366,0.119751166,0.089442815,0.071100917,0.029411765,-0.006944444,-0.001345895,0.004996431,0.037857143,0.025874126,0.078167116,0.031960227,-0.092911218,-0.08793456,-0.14875,-0.041982106,0.020485584,-0.025411061,0.004405286,-0.000718391,0.031226766,0.213190184,0.245614035,0.160316319,0.180966114,0.112515803,0.0657277,0.022304833,0.06959707,-0.001136364,0.073788546
AK,,,,,-0.029182879,0.396270396,0.685344828,0.338709677,0.264529058,0.155258765,-0.12915601,0.010709505,-0.014263074,-0.014450867,-0.070484581,-0.099337748,0.030546624,0.004398827,0.078988942,0.111764706,0.146645866,0.204379562,0.146412884,-0.025132275,-0.012244898,-0.107878788,-0.067688378,-0.029850746,-0.108815427,1.13451087,0.867123288,-0.21958042,-0.981452859,-0.512412476,-0.853998533,-0.374551971,-0.166666667,-0.360313316,-0.949748744,0.985673352,66.9,0.415306122,72.8,-0.005772006,-0.082474227,0.007930786,0.045392954,0.068214804,-0.224719101,-0.128040057,-0.348023331,-0.048913043,0.167701863,0.350287121,0.689860835,0.153571429,0.308510638,-0.002430134,0.146470588,-0.138080495,-0.220867209,-0.206455542,-0.198563366,-0.120689655,0.086956522,-0.145049885,-0.115877081,-0.099673203,-0.1616,0.062836625,-0.186097031,0.014519056,0.127862595,0,-0.117437722,-0.040250447,0.10998308,-0.064189189,0.247983871,0.118359739,-0.057926829,0.032490975,-0.042810985
OK,,,,,-0.016806723,-0.021663778,-0.033912324,-0.063811923,-0.003418803,0.04340124,-0.001712329,0.008071749,-0.056603774,-0.049235993,-0.048027444,-0.058718861,-0.010909091,0.027678571,-0.027027027,0.035916824,0.006433824,0.011294526,0.142592593,0.045620438,0.121461187,0.077319588,0.004051864,0.064572426,-0.023615635,-0.035885167,0.01614205,-0.091803279,0.004170142,-0.019023987,0.04050834,-0.014440433,-0.113787375,-0.097807757,-0.122137405,0.010989011,0.082474227,0.093457944,-0.00173913,0.05615942,0.01038961,0.005128205,0.038327526,-0.003430532,-0.005141388,0.008503401,0.054530201,0.04130809,0.093884582,0.137436762,0.088305489,0.084297521,0.033070866,0.022979985,0.040935673,0.041158537,0.024390244,0.051449275,0.184691011,0.080527086,-0.09077381,-0.157822192,-0.171310018,-0.019647696,0.142389525,0.22913257,0.050071531,-0.073946095,0.067335244,0.096537949,0.051771117,0.18880597,0.17114094,0.117182757,0.211139896,0.111111111,0.031518625,0.028804348,0.115508021
LA,,,,,-0.132637854,-0.034965035,0.061818182,0.012378426,0.077319588,0.111413043,-0.140410959,-0.012227074,-0.059808612,-0.211898941,0.043824701,-0.141467728,-0.071246819,0.195449845,0.022900763,0.120494336,0.080365297,0.057093426,0.104477612,0.053308824,0.090448014,0.006546645,0.029560811,0.118673647,0.00620155,0.056910569,0.040196883,-0.024960998,-0.016178737,-0.041538462,0.058359621,-0.0128,-0.036805012,-0.084269663,-0.099850969,-0.055105348,0.034146341,0.025416301,-0.039735099,0.001715266,-0.077044025,0.054700855,0.037931034,-0.037671233,0.028960818,-0.035656402,0.063122924,0.112099644,0.120033113,0.179831933,0.1125,0.112,0.024390244,0.031339031,0.060393258,0.030215827,0.077922078,0.060773481,0.182781457,0.068435754,-0.065595716,-0.084635417,-0.153975364,-0.005228758,0.010028653,0.12802276,0.038385175,0.031537451,0.075177305,0.148802018,0.038878266,0.21656051,0.200527704,0.125137212,0.259509202,-0.116230366,-0.004395604,-0.062926829,0.017048222
AL,,,,,0.034662045,-0.088372093,-0.006546645,-0.030069391,0.07118928,0.006802721,-0.020593081,-0.090620032,-0.1696638,-0.182432432,-0.06980656,-0.089160839,0.09039548,0.236570248,0.044303797,0.088291747,0.131260794,0.105263158,0.012987013,0.126102293,-0.042748092,-0.027966742,0.088034188,0.028974158,0.081339713,0.041990669,0.095836606,-0.028158295,-0.013274336,-0.052238806,-0.025089606,0.003915427,-0.037369208,0.026771654,-0.002941176,-0.018720749,-0.023291925,-0.107361963,-0.142330383,-0.047694754,0.011128776,0.067010309,0.062768702,-0.010016694,-0.034591195,-0.040257649,0.027508091,0.053962901,0.092833876,0.157718121,0.092913386,0.1296,0.100596125,0.066666667,0.080691643,0.060906516,0.048070413,0.058423913,0.226666667,-0.006675567,-0.025839793,-0.123234917,-0.143478261,0.034274194,-0.037135279,0.090043924,0.054568528,-0.025341131,0.148071625,0.18468771,0.129963899,0.29,0.146970606,0.180839002,0.077742279,-0.088372093,0.048117155,-0.008641383,0.100790514
CT,,,,,-0.023684211,0.013769363,0.102941176,0,0.096136568,0.034804754,-0.080784314,0.011725293,-0.056557377,-0.050041017,-0.035836177,-0.099337748,-0.053866203,0.010362694,0.095575221,0.018382353,0.028466483,0,-0.024232633,0.032490975,0.066071429,0.017094017,-0.07781457,0.058566434,0.016750419,0.132773109,0.152603232,0.014037985,0.012355848,-0.041543027,0.085669782,0.019543974,-0.061025224,0.035603715,-0.089670014,0.019169329,0.128249567,-0.041853513,-0.016548463,-0.017241379,-0.026113671,0,0.022435897,-0.062200957,-0.032334385,-0.012480499,0.007836991,0.080782313,0.131214344,0.142969984,0.118195956,0.041699449,-0.142651297,-0.067035245,0.011126565,0.094410876,0.193277311,0.037777778,0.251719395,0.022774327,-0.123239437,-0.125624554,-0.181868132,0.061403509,0.077108434,0.213061224,0.124244459,-0.015893198,0.206562267,0.162853297,0.051373955,0.143410853,0.067985167,0.236111111,0.103409091,0.01299435,0.049768519,-0.108614232,0.091658084
NE,,,,,-0.032310178,0.086805556,-0.061660079,-0.057324841,-0.011686144,-0.060702875,-0.00926706,0.015202703,-0.037162162,-0.095238095,-0.06292517,-0.071547421,-0.035087719,0.080827068,-0.00907441,0.062724014,0.075454545,-0.017391304,0.146520147,-0.003372681,0.031276416,0.150442478,0.026357827,0.074450085,-0.016393443,-0.005384615,0.017120623,0.088188976,0.088333333,0.008507347,0.026778883,-0.063675832,-0.156967841,-0.091257669,-0.117734724,-0.092735703,0.049954587,-0.005907173,-0.029560811,0.00681431,0.015570934,0.015280136,0.049608355,0.104906937,0.049403748,0.011705686,0.049751244,0.005359877,0.043831169,0.101652893,0.086887836,0.037319117,-0.00933126,-0.020255064,0.058139535,0.022026432,0.054945055,0.041347626,0.131868132,0.079022989,-0.116071429,-0.180882353,-0.190533981,-0.047270306,0.168350168,0.166068223,0.122938531,-0.032844165,0.050432277,0.244033872,0.035380507,0.167630058,0.133058985,0.081683168,0.141199226,0.041460396,-0.014527845,-0.009153318,0.112429379
IA,,,,,0.006734007,0.055004509,-0.060162602,0.070491803,0.08361204,0.047863248,0.055363322,-0.114854518,-0.106481481,-0.091353997,-0.103278689,0.024221453,-0.055267703,-0.032315978,0.100548446,-0.108108108,0.137111517,0.150278293,0.044019934,0.105113636,0.011254019,0.122580645,-0.019888624,0.12167952,0.038950715,-0.033764368,0.095779221,0.020626432,-0.046671767,-0.063197026,-0.017037037,-0.086826347,-0.000802568,0.038095238,-0.001507159,0.08852459,0.018473896,-0.036697248,-0.056603774,-0.036144578,-0.022082019,0.028571429,0.028,0.0015625,0.027419355,0.012345679,0.036575875,0.03276131,0.057299843,0.068597561,0.094594595,0.043806647,-0.002227171,0.044222539,0.086419753,0.034732272,0.0625,-0.06420765,0.037878788,0.118881119,-0.074229692,-0.028467153,-0.127737226,-0.13125,0.050680787,0.003005259,0.00348675,-0.008633094,0.064074874,0.232209738,0.134120917,0.208272859,0.178619756,0.168389058,0.103553922,0.094294294,-0.033295063,-0.063475546,0.000555247
ID,,,,,-0.097345133,-0.176829268,0.318181818,0.388965517,0.102941176,0.254320988,0.014198783,-0.04468719,0.068888889,-0.167322835,-0.154,-0.093555094,-0.0997921,0.160756501,0.160756501,0.176605505,0.139722864,-0.054989817,0.075356415,-0.076023392,-0.16514691,-0.063577586,-0.200757576,-0.109704641,0.024271845,0.173762946,0.210900474,0.037914692,0.015402844,-0.076470588,0.035225049,0.034246575,0.028004667,0.057324841,-0.018903592,0.079470199,0.116912599,0.052208835,0.015414258,0.049079755,0.030487805,0.005725191,0.030360531,0.078947368,0.071005917,0.014231499,-0.020257827,-0.028003613,0.011049724,0.113189897,0.109022556,0.092007435,0.069216758,0.040336134,-0.010169492,0.045106383,0.03407155,-0.008077544,0.114726027,-0.042345277,-0.245469522,-0.213355049,-0.293394777,-0.141156463,0.168122271,0.105590062,0.22826087,0.04950495,0.041121495,0.137640449,0.14159292,0.097169811,0.131059246,0.069958848,0.075968992,0.127257094,-0.19047619,-0.206923077,-0.273054755
SC,,,,,-0.00848111,-0.13381295,0.028169014,0.062724014,0.116640747,0.224252492,-0.008561644,0,-0.970752089,-1,-0.948186528,-0.163575042,28.28571429,#DIV/0!,18.8,0.3125,0.2,0.301324503,0.106060606,-0.011520737,-0.157859079,-0.187022901,0.02435312,-0.034188034,0.161705551,-0.03286385,-0.138187221,0.074014481,-0.069252078,0.046925566,0.167241379,-0.026217228,-0.077380952,-0.018547141,-0.100443131,-0.066153846,0.014516129,0.000787402,0.039408867,0.047775947,-0.004769475,0.018882769,0.04107425,-0.02908805,-0.017571885,-0.012355212,-0.018209408,0.059109312,0.105691057,0.110242377,0.14064915,0.073394495,0.038235294,0.050704225,0.013550136,0.075498575,0.066572238,0.107238606,0.199197861,-0.036423841,-0.058432935,-0.179176755,-0.158862876,0.04604811,0.090267983,0.115044248,0.067594433,0.085413929,0.064683053,0.117063492,0.075108628,0.273002421,0.141555286,0.211959739,0.189376443,-0.153590109,0.049494412,-0.014167074,-0.019902913
NM,,,,,0.110882957,-0.079597438,-0.017840376,-0.364726027,-0.022181146,0.081510934,-0.549713193,0.413746631,-0.160680529,-0.161764706,1,-0.142993327,0.083333333,0.024122807,0.044585987,0.19243604,0.095634096,0.115631692,0.101626016,-0.097014925,-0.016129032,0.259117083,0.003690037,0.026859504,0.116682739,-0.097560976,0.175551471,0.317907445,-0.074265976,-0.052364865,-0.014073495,-0.148091603,-0.019589552,-0.048128342,-0.085646312,-0.046594982,-0.02188392,0.0917603,-0.006071119,0.046992481,0.089494163,0.011149228,0.04886562,0.052064632,0.001785714,-0.024597116,-0.005823627,0.015358362,0.040998217,-0.022608696,0.010878661,-0.010084034,-0.043664384,0.072953737,0.084437086,0.0237691,0.081468218,0.1973466,0.273282443,0.128524046,-0.130794702,-0.283933518,-0.267985612,-0.065393093,0.15047619,0.115087041,-0.05978706,-0.092767296,0.003311258,0.122289679,0.176829268,0.142980936,0.174092409,0.148377125,0.11472983,0.082638362,0.032326072,0.055181696,0.090305445
MT,,,,,-0.262411348,-0.061619718,0.085981308,-0.053672316,0.367788462,0.082551595,-0.030981067,0.007960199,-0.145869947,-0.896013865,-0.252220249,0.066140178,-0.08436214,7.725,0.346793349,-0.00462963,0.085393258,0.014326648,-0.079365079,0.017674419,-0.095238095,-0.155367232,-1,-0.178244973,0.038901602,0.137123746,#DIV/0!,0.074527253,0.072687225,-1,0.076064909,0.080745342,0.012320329,#DIV/0!,-0.000942507,-0.000957854,-0.004056795,0.097037794,-0.060377358,0.046021093,0.069246436,0.049348231,0.152610442,0.00091659,0.055238095,0.022182786,0.099303136,0.054945055,0.023465704,0.038194444,0.031695721,0.065972222,0.055555556,0.098662207,0.055299539,0.067589577,0.080200501,0.04109589,0.238719068,0.129672006,0.027842227,-0.051169591,-0.249118684,-0.114112086,-0.154251317,-0.083204931,-0.034428795,-0.099847561,0.102313167,0.100840336,0.218800648,0.309060119,0.150928168,0.12519084,0.059840426,-0.001293661,-0.050490884,-0.061058345,0.037013802
AR,,,,,0.331168831,0.0625,0.029616725,0.189144737,-0.06504065,-0.064091308,-0.143824027,-0.237897649,-0.153043478,0.05065666,0.0256917,0.021778584,0.092402464,0.017857143,0.148362235,-0.122557726,0.02443609,-0.001754386,-0.015100671,0.129554656,0.042201835,0.084358524,0.023850085,0.116487455,0.026408451,-0.022690438,0.043261231,-0.125200642,-0.005145798,0.053067993,-0.015948963,-0.01559633,0.018965517,0.003149606,0.047001621,0.09972041,0.065989848,-0.081632653,-0.108359133,-0.016949153,-0.052380952,0.037606838,0.046875,0.003448276,0.016750419,-0.014827018,0.03814262,0.083333333,0.110378913,0.193979933,0.11341853,0.098334655,0.040059347,-0.025210084,0.058106169,0.007942238,0.108416548,0.081896552,0.090847458,0.083094556,-0.178893179,-0.124833997,-0.124922312,-0.101190476,0.084639498,0.033383915,0.072443182,0.058866814,0.121387283,0.190895742,0.148344371,0.25295344,0.152061856,0.225647349,0.066897347,-0.046034387,0.010067114,-0.036217304,0.011891892
RI,,,,,0,-0.024709302,-0.054945055,0.094594595,0.125,0.022354694,0.052325581,-0.126200274,-0.179051663,-0.056122449,-0.125690608,-0.040816327,0.001724138,0.005405405,0.052132701,0.097381342,0.256454389,0.181259601,0.024024024,0.061894109,-0.117808219,-0.170351105,-0.002932551,-0.05758427,0.00931677,0.099529781,0.180882353,0.069299553,0.093846154,-0.010691376,-0.118306351,-0.073867596,-0.088607595,-0.135446686,0.05720339,0.038374718,0.032407407,0.076666667,-0.16499666,-0.04057971,-0.043348281,0.046439628,0.0912,-0.039274924,-0.01796875,-0.028106509,-0.019061584,0.09591195,0.053301512,0.143074581,0.170403587,0.007890961,-0.040785498,0.060585885,-0.017241379,0.071886121,0.262992126,-0.016321406,0.355425601,0.171314741,-0.082294264,-0.000638162,-0.228187919,-0.159863946,-0.060461957,0.137931034,0.260869565,0.278002699,0.333333333,0.126823793,0.001970443,0.079197466,0.14967462,0.12001992,0.095378564,0.098825832,0.104716981,0.154290796,0.094254937
KS,,,,,-0.037366548,0.086792453,-0.033204633,-0.046102263,-0.072088725,-0.002604167,-0.039936102,0.008787346,0.101593625,-0.030461271,-0.068219634,0.029616725,-0.202531646,-0.086175943,-0.017857143,0.055837563,0.310657596,0.249508841,0.169090909,-0.039262821,0.062283737,0.025157233,0.038880249,0.069224354,-0.058631922,0.056748466,0.057634731,-0.021840874,0.114186851,-0.089985486,-0.057324841,-0.042264753,-0.113354037,-0.062200957,-0.134384384,-0.024146545,0.085814361,0.007653061,0.007805724,0.006825939,-0.054032258,-0.024472574,0.068846816,0.033898305,0.041773231,0.014705882,0.044283414,0.032786885,0.085106383,0.195225916,0.042405551,0.06031746,0.009049774,-0.029957204,0.075443787,0.092814371,0.135276532,0.083823529,0.201513067,0.147260274,0.016458196,-0.119402985,-0.206067544,-0.073432836,-0.094559585,-0.021571649,0.042537851,-0.141752577,0.037195994,0.245669291,0.121715076,0.340840841,0.11862069,0.061314791,0.128853268,-0.10806271,0.082614057,0.050625372,0.114145276
ND,,,,,-0.009191176,0.029038113,0.095840868,-0.006968641,0.168831169,0.150793651,0.063531353,0.084210526,-0.187301587,-0.183908046,-0.197827773,-0.1197411,-0.03515625,0.005633803,0.162475822,0.043198529,0.13562753,0.218487395,0.024126456,-0.007048458,0,-0.006896552,-0.020308692,0.078970719,-0.049910873,-0.074074074,0.199004975,0.129934211,0.140712946,0.071666667,-0.074688797,0.017467249,0.111842105,0.063763608,0.01793722,0.003576538,-0.079142012,-0.049707602,0.102790015,0.052031361,0.113253012,-0.019230769,-0.130492676,-0.025067751,0.009379509,0.036078431,0.169984686,0.118137596,-0.003573981,0.153671461,-0.041884817,-0.064014916,0.06097561,-0.026246719,0.206284153,-0.100265604,-0.032454361,0.018867925,0.109852775,0.195571956,-0.023759609,-0.015873016,-0.208163265,-0.122222222,0.060844667,-0.067204301,-0.046391753,-0.015471167,-0.172064777,-0.061959654,0.035135135,0.086428571,0.282803586,0.390168971,0.225195822,0.35634451,0.170266836,0.00441989,0.15610016
SD,,,,,0.14198783,0.128301887,0.193979933,-0.019125683,0.051509769,0.121237458,-0.107142857,0.103064067,-0.140202703,-0.20059657,-0.201568627,-0.045454545,-0.021611002,-0.009328358,0.174852652,0.125220459,0.253012048,0.1826742,0.14548495,-0.119122257,-0.0625,0.027070064,-0.189051095,0.129893238,0.003418803,-0.003100775,0.180018002,0.004724409,0.064735945,-0.040435459,-0.006864989,-0.018808777,0.0544,0.034846029,-0.109831029,-0.003194888,-0.123672231,-0.035238841,0.10267472,0.134615385,0.052813853,-0.087662338,0.048513302,-0.162429379,0.018914474,0.090747331,-0.02761194,0.049747049,0.016949153,0.048939641,0.175748273,0.285943775,0.101587302,0.051321928,0.115535248,-0.072454716,-0.027377522,0.26183432,0.017554125,0.138047138,0.04,-0.188745604,-0.247843588,-0.201183432,-0.018518519,0.00433526,0.138379205,0.168888889,0.017416546,0.084892086,0.040967092,-0.011406844,0.102710414,0.122679045,0.153548387,0.203846154,0.175937904,0.046662729,0.08836689
MS,,,,,-0.064175467,-0.260146374,0.009646302,-0.082605242,0.091145833,0.04676259,-0.087579618,-0.031168831,-0.091487669,-0.089347079,-0.171902269,-1,-0.046409807,0.133962264,0.247629083,#DIV/0!,0.045913682,0.116472546,-0.060810811,0.130507066,0.086918349,0.078986587,0.237410072,0.082352941,0.187399031,-0.074585635,0.029796512,-0.148097826,-0.081632653,0.050746269,-0.01340861,-0.052631579,-0.085925926,-0.0859375,-0.077253219,0.154040404,0.004051864,-0.073815074,-0.065116279,-0.127644055,0.013720743,0.033557047,0.122719735,-0.081939799,0.003184713,0.091720779,-0.016248154,0.18579235,0.10952381,0.062453532,0.129129129,0.08141321,0.010014306,0.041287614,0.027925532,0.075994318,0.182011331,0.133736559,0.283311772,-0.00330033,-0.213900539,-0.065797273,-0.212197581,0.158278146,0.263719512,-0.039974619,0.103646833,-0.028016009,0.145958987,0.295439524,-0.04,0.207058824,-0.022105263,0.006632653,0.268115942,-0.179337232,0.01883746,-0.032944754,-0.054285714
ME,,,,,-0.142028986,-0.142857143,0.114331723,-0.027375201,0.048986486,0.552434457,-0.132947977,-0.03807947,-0.133655395,-0.375150784,-0.128333333,-0.979345955,-0.010223048,0.028957529,0.09751434,48.5,0.000938967,0.272045028,0.033101045,0,0.095684803,0.066371681,0.100337268,0.074915825,0.099315068,-0.059474412,0.031417625,-0.038371182,-0.010903427,0.025,-0.068350669,-0.021172638,-0.095275591,-0.112625538,-0.04784689,-0.114808652,0.07745866,0.015359741,-0.02680067,0.17387218,0.023424879,0.045382166,0.106712565,-0.052041633,0.00394633,-0.104341203,0.034214619,0.081081081,0.044025157,0.209183673,0.156390977,0.12578125,0.049698795,0.066104079,0.10793238,0.065232477,0.033715925,0.205804749,0.110915493,0.132247557,0.20610687,-0.027352298,0.025884839,-0.117376295,-0.153049482,0.068053993,-0.11277034,0.075619296,0.229619565,0.050552923,0.186883343,0.226666667,0.066298343,0.121804511,-0.016136919,-0.201086957,-0.120207254,-0.016085791,0.263916501
NH,,,,,-0.174068768,-0.246460746,-0.021276596,0.212022746,0.321769297,0.339880444,0.237458194,-0.190348525,-0.199475066,-0.21414914,-0.264189189,-0.100993377,-0.025409836,0.02514193,0.086317723,0.26335175,0.24137931,0.085443038,0.224852071,-0.032798834,-0.004065041,0.089650146,-0.039337474,0.168048229,0.040816327,0.072240803,-0.140086207,-0.063225806,0.054901961,-0.060511541,0.279866332,-0.082644628,-0.172862454,0.01062417,-0.154046997,0.081081081,-0.045692884,-0.178712221,-0.052469136,-0.158333333,-0.02433281,0.0064,0.035830619,0.047029703,-0.002413516,-0.047694754,0.019654088,0.010244287,0.025,0.159432387,0.054741712,0.081123245,0.027537372,0.056155508,0.07748538,-0.012987013,0.137059724,0.022494888,0.245590231,0.080409357,-0.158249158,-0.164,-0.236383442,0.027063599,0.3328,0.138755981,0.345221113,0.06455863,0.030012005,0.236694678,0.020148462,0.123762376,0.018648019,0.073612684,0.023908524,-0.107929515,0.042334096,-0.119725738,0.120812183
VT,,,,,-0.110948905,-0.210249671,-0.144414169,0.107518797,0.128078818,0.311148087,0.323248408,-0.022403259,-0.048762737,-0.170050761,-0.308062575,-0.109722222,-0.104820199,-0.02675841,0.349565217,-0.06474259,0.229059829,0.045561665,0.159149485,0.163469558,0.017385257,0.007513148,-0.336297943,0.061648746,-0.107997266,-0.105145414,-0.093802345,-0.127616475,-0.075095785,0.281666667,0.247689464,0.101393189,-0.131731566,-0.249674902,-0.07037037,-0.076598735,0.204198473,0.110918544,0.00876494,-0.04109589,0.001584786,0.028081123,0.010268562,0.069047619,0.006329114,0.008345979,0.071149335,-0.017074981,0.094339623,0.235515425,0.052554745,0.114803625,0.061781609,-0.118148599,0.110957004,0.032520325,0.143437077,0.193370166,0.083645443,0.116141732,-0.271005917,-0.235532407,-0.18202765,-0.014697237,0.227272727,0.155185466,0.163380282,-0.069212411,0.183862434,0.337483617,0.285714286,-0.015384615,0.010055866,0.079862812,-0.069679849,0.147135417,-0.194690265,-0.051724138,-0.048076923
