State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2
WY,N/A,N/A,N/A,N/A,-15.900%,-7.600%,-8.400%,-35.700%,6.300%,36.500%,N/A,27.900%,-5.900%,-21.800%,N/A,-5.900%,-6.900%,9.400%,34.200%,-5.00%,22.800%,2.700%,16.900%,25.300%,16.700%,-10.900%,-3.800%,12.00%,-19.100%,8.900%,20.400%,-31.600%,-2.800%,-13.400%,-30.900%,15.600%,-24.400%,-9.400%,-18.200%,-29.400%,7.200%,14.400%,-8.800%,12.300%,23.400%,-2.600%,21.200%,9.400%,15.100%,-1.700%,-0.800%,7.300%,-0.800%,4.500%,15.400%,19.00%,5.200%,32.900%,47.100%,1.100%,9.300%,-0.500%,2.100%,8.00%,-31.700%,-1.900%,-49.00%,-23.300%,27.900%,-7.700%,39.200%,14.500%,-27.100%,-19.800%,-23.400%,-83.300%,41.400%,61.600%,31.300%,637.700%,39.100%,-10.0%,41.200%,27.700%,-4.600%,15.500%
CT,N/A,N/A,N/A,N/A,-9.800%,-3.800%,1.100%,-7.00%,12.500%,5.200%,0%,9.600%,-7.400%,-5.900%,-9.700%,-11.800%,-0.200%,-1.800%,8.800%,10.300%,-2.900%,-0.600%,-3.00%,-7.500%,10.500%,7.00%,2.400%,6.900%,0.900%,13.00%,9.600%,4.800%,3.600%,-7.200%,5.700%,1.400%,-7.900%,-0.100%,-13.600%,-7.600%,4.200%,-4.500%,-3.400%,-0.300%,-2.400%,-1.800%,2.100%,-7.200%,-3.600%,-0.300%,0.900%,10.400%,12.300%,14.00%,10.800%,2.400%,-14.00%,-7.00%,0.600%,9.200%,18.100%,3.200%,26.200%,2.300%,-12.200%,-11.100%,-17.600%,5.600%,7.800%,20.900%,11.500%,-1.500%,20.0%,14.600%,5.00%,16.300%,7.600%,24.300%,14.500%,3.700%,4.800%,-10.100%,8.00%,5.800%,10.100%,20.300%
ME,N/A,N/A,N/A,N/A,-15.700%,-17.700%,-1.200%,-3.900%,0%,39.00%,2.00%,0.400%,-5.900%,-31.100%,-23.200%,4.00%,-3.300%,0.600%,9.600%,12.700%,3.600%,32.400%,-4.00%,-12.600%,4.00%,-3.100%,19.500%,2.400%,6.700%,-2.800%,-4.600%,-0.400%,2.200%,0.800%,-0.700%,-7.400%,-11.200%,-12.800%,2.600%,-2.600%,1.600%,0%,-15.300%,5.100%,2.600%,4.00%,11.600%,-4.100%,1.500%,-10.300%,2.500%,4.800%,6.400%,22.200%,15.200%,11.800%,2.600%,5.300%,10.700%,7.700%,2.400%,20.200%,12.100%,13.500%,20.600%,-2.700%,1.700%,-12.900%,-15.300%,6.800%,-11.300%,7.600%,23.00%,5.100%,18.700%,27.200%,7.200%,12.600%,0.600%,-20.500%,-11.00%,0.400%,23.600%,21.100%,24.700%,-12.700%
MA,N/A,N/A,N/A,N/A,-10.600%,-3.500%,4.200%,-3.900%,11.00%,2.700%,-0.300%,-1.900%,-1.00%,-4.100%,-7.700%,3.500%,-2.900%,5.500%,8.700%,1.800%,2.500%,-3.300%,-4.400%,-4.600%,6.400%,0.100%,-0.600%,4.00%,-4.00%,7.600%,9.900%,5.500%,8.100%,4.200%,3.200%,-3.900%,-11.100%,-11.600%,-12.00%,-9.800%,4.00%,3.600%,3.100%,5.500%,-2.500%,0.600%,0.600%,-7.00%,-0.400%,0.600%,2.800%,11.300%,8.900%,11.800%,8.300%,2.500%,-2.700%,-1.400%,3.400%,8.600%,10.0%,7.600%,21.100%,7.700%,-14.500%,-14.800%,-17.900%,-2.400%,13.900%,15.500%,9.300%,2.600%,12.700%,15.800%,8.700%,20.100%,3.700%,12.100%,12.400%,-6.500%,-4.600%,-4.300%,6.300%,7.900%,18.00%,13.600%
NH,N/A,N/A,N/A,N/A,-22.300%,-24.700%,-1.00%,16.700%,30.900%,32.100%,37.800%,-18.800%,-13.800%,2.800%,-32.900%,-5.600%,-6.00%,-21.600%,21.600%,21.900%,26.600%,8.700%,6.500%,-1.300%,-5.100%,8.800%,3.900%,15.500%,7.700%,14.400%,-19.200%,-8.500%,13.500%,-10.600%,26.00%,-6.300%,-24.00%,2.800%,-14.00%,6.300%,-5.200%,-20.300%,-5.300%,-13.900%,-4.500%,0.600%,2.700%,1.900%,-0.300%,-4.800%,4.200%,2.200%,4.00%,19.300%,3.400%,7.700%,2.00%,3.500%,6.500%,-2.300%,12.500%,1.200%,25.500%,11.00%,-15.700%,-15.700%,-24.100%,1.300%,33.100%,12.900%,34.200%,5.100%,4.100%,30.300%,2.00%,12.400%,0.700%,2.800%,2.400%,-12.700%,4.200%,-1.800%,14.700%,43.00%,9.100%,0.200%
RI,N/A,N/A,N/A,N/A,-2.500%,-3.800%,-10.400%,5.600%,9.100%,4.400%,9.400%,-12.100%,-20.0%,-3.900%,-11.500%,2.400%,6.100%,-2.300%,4.800%,21.300%,18.500%,18.900%,1.100%,-11.900%,-7.300%,-9.700%,1.400%,0.900%,-4.100%,3.500%,20.300%,11.700%,11.500%,-5.00%,-13.100%,-11.900%,-10.500%,-10.200%,4.800%,-0.400%,-1.00%,1.700%,-19.800%,-4.900%,-4.700%,5.00%,9.200%,-5.700%,-2.00%,-3.200%,-2.00%,14.500%,4.600%,16.900%,17.300%,-2.300%,-1.600%,4.500%,-2.800%,5.900%,24.300%,-2.400%,35.700%,20.300%,-9.100%,-0.300%,-22.900%,-17.00%,-6.00%,13.800%,26.300%,25.800%,35.700%,12.700%,0%,8.800%,12.900%,16.300%,10.900%,10.800%,11.100%,12.00%,10.800%,-9.500%,-3.100%,-6.500%
VT,N/A,N/A,N/A,N/A,-13.600%,-22.100%,-14.900%,7.400%,9.200%,27.700%,32.300%,-4.300%,-6.200%,-8.100%,-30.800%,-8.800%,-3.700%,-9.800%,39.700%,-7.500%,22.500%,11.300%,12.00%,58.500%,-1.300%,-5.800%,-26.400%,-19.400%,3.900%,22.200%,3.500%,1.700%,-14.700%,-5.900%,8.600%,-5.300%,-12.600%,-23.700%,-15.700%,-11.900%,7.500%,6.600%,1.00%,-0.800%,0.900%,4.400%,0.900%,3.400%,0.200%,-0.700%,7.100%,-0.400%,9.200%,24.500%,5.300%,10.600%,7.00%,-10.300%,17.100%,2.700%,13.00%,16.400%,2.800%,13.300%,-27.100%,-23.600%,-18.200%,-2.900%,22.700%,16.900%,16.300%,-5.100%,18.400%,33.300%,28.600%,-3.00%,1.00%,7.100%,4.100%,17.400%,-17.500%,-5.200%,-11.900%,10.400%,32.400%,2.500%
CA,N/A,N/A,N/A,N/A,24.700%,20.100%,0%,-21.700%,-16.100%,-14.300%,-2.600%,36.900%,-8.900%,11.500%,3.400%,-4.500%,22.900%,-7.200%,-12.800%,1.200%,-2.800%,7.400%,10.300%,-4.100%,7.900%,15.00%,3.600%,14.800%,-0.600%,-0.300%,9.900%,5.500%,12.300%,6.800%,10.0%,-1.00%,-6.500%,-4.200%,-12.700%,-8.600%,-7.00%,-3.500%,0.300%,-3.300%,3.300%,10.400%,10.400%,7.700%,12.500%,-3.00%,-0.700%,-3.400%,-4.100%,4.700%,1.800%,0.500%,-10.0%,-1.500%,6.100%,7.900%,15.600%,15.800%,32.400%,27.100%,2.300%,-6.100%,-20.500%,-5.400%,2.500%,3.900%,5.700%,-10.700%,12.800%,21.500%,13.700%,26.200%,-6.800%,1.600%,0.700%,-17.600%,-4.00%,-7.700%,7.100%,20.600%,22.500%,20.400%
OR,N/A,N/A,N/A,N/A,17.600%,33.300%,24.800%,14.300%,-5.00%,-8.400%,-14.100%,0.500%,16.00%,6.800%,-7.300%,-16.600%,-14.00%,-11.600%,0%,3.800%,3.400%,10.900%,-13.400%,-4.200%,-27.500%,8.300%,24.800%,37.800%,58.900%,25.300%,-1.800%,-4.600%,-1.300%,-12.900%,22.600%,-4.500%,0.700%,-4.500%,-7.100%,-0.700%,-6.900%,3.700%,5.600%,10.600%,7.900%,1.400%,1.700%,-4.500%,-2.00%,-3.600%,-11.500%,-2.700%,11.100%,16.900%,17.800%,3.900%,-17.300%,-11.800%,-12.300%,-10.800%,4.200%,3.900%,11.900%,1.700%,-2.800%,-18.800%,-18.200%,2.200%,-0.700%,11.300%,7.00%,-4.00%,-3.400%,11.200%,8.900%,11.400%,37.00%,17.600%,18.100%,4.500%,-15.300%,-5.500%,-1.600%,3.100%,6.300%,3.200%
WA,N/A,N/A,N/A,N/A,26.500%,22.500%,4.400%,11.600%,-20.900%,-13.200%,-1.600%,2.300%,31.100%,22.400%,6.600%,-9.200%,-4.300%,-4.300%,-2.700%,15.100%,-1.800%,-1.600%,-17.700%,-9.300%,1.700%,-2.600%,11.800%,13.400%,2.100%,8.00%,7.00%,-3.500%,8.400%,11.900%,13.500%,0.700%,2.900%,7.600%,5.500%,5.500%,-3.200%,-3.00%,1.700%,11.500%,9.100%,-1.100%,-4.900%,-11.900%,1.300%,4.700%,8.100%,10.300%,13.700%,16.200%,2.500%,-3.300%,-18.500%,-16.200%,-10.300%,-14.900%,0.900%,-2.600%,13.100%,14.700%,-4.900%,-13.900%,-23.800%,-11.900%,-2.200%,10.600%,10.0%,0.500%,6.700%,11.300%,9.100%,16.500%,18.800%,16.700%,16.400%,-1.300%,-14.300%,-14.800%,-1.900%,8.700%,19.500%,20.0%
AK,N/A,N/A,N/A,N/A,1.800%,47.200%,48.00%,32.900%,20.600%,12.500%,-11.800%,1.400%,3.300%,6.800%,3.500%,-10.100%,-2.900%,-7.300%,-0.700%,18.800%,15.600%,17.600%,10.300%,-4.700%,-6.400%,-7.600%,-6.800%,-5.400%,-1.600%,105.600%,111.900%,16.400%,14.300%,-49.500%,-49.300%,-1.00%,-37.200%,-36.800%,-98.700%,-21.500%,34.800%,38.200%,"8,780.0%",3.500%,-4.600%,1.700%,-11.900%,11.100%,-26.500%,-12.500%,-35.300%,-6.800%,16.800%,35.100%,77.100%,10.200%,33.00%,-0.600%,19.100%,-11.600%,-23.300%,-21.200%,-26.600%,-15.200%,7.800%,-14.500%,-11.100%,-9.100%,-15.400%,6.100%,-19.00%,1.300%,11.900%,-0.200%,-12.100%,-4.800%,10.600%,-6.300%,24.800%,11.700%,-5.400%,3.100%,-3.900%,-3.800%,-5.600%,1.400%
DE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100%,N/A,-100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FL,N/A,N/A,N/A,N/A,-3.700%,-0.300%,2.700%,-2.600%,3.400%,3.200%,4.400%,-1.400%,-9.00%,-9.800%,-9.100%,-0.100%,-2.200%,-0.200%,3.600%,-0.800%,13.800%,9.400%,1.700%,-3.800%,-0.800%,0.200%,2.300%,8.400%,-2.400%,1.500%,3.900%,2.600%,6.600%,-1.600%,3.200%,-7.600%,-9.900%,-6.400%,-9.900%,-5.400%,1.400%,0.500%,-3.00%,5.700%,-1.800%,1.200%,2.600%,-3.00%,0%,-0.200%,1.00%,7.600%,6.500%,13.100%,7.400%,0.100%,-4.900%,-4.300%,3.800%,8.300%,12.100%,7.300%,19.400%,6.600%,-10.600%,-11.300%,-15.700%,-4.200%,9.600%,13.900%,9.300%,7.700%,23.00%,23.900%,8.800%,18.600%,3.700%,9.300%,9.800%,-9.300%,-10.900%,-9.300%,4.700%,3.300%,15.800%,6.500%
GA,N/A,N/A,N/A,N/A,-10.400%,3.800%,-4.600%,-0.400%,6.400%,-3.800%,9.500%,-9.200%,-54.400%,-24.700%,-19.300%,-6.00%,-1.500%,12.300%,-7.400%,-6.200%,132.200%,15.800%,18.500%,9.300%,-5.700%,3.300%,6.800%,14.400%,-4.100%,-8.700%,-10.800%,3.00%,3.400%,1.500%,14.500%,-11.800%,-15.200%,-14.600%,-15.700%,-19.300%,-4.700%,7.100%,1.300%,15.400%,6.100%,2.600%,5.700%,-3.200%,-4.300%,1.900%,0.200%,4.300%,4.00%,2.200%,7.800%,3.200%,20.0%,14.700%,8.700%,11.200%,-2.800%,-2.900%,-2.600%,2.100%,1.200%,-0.700%,-1.600%,2.00%,1.100%,1.100%,7.200%,8.200%,15.600%,22.600%,5.400%,9.200%,-0.400%,6.800%,17.100%,-0.300%,4.100%,-5.00%,4.100%,1.00%,11.300%,12.100%
MD,N/A,N/A,N/A,N/A,-1.00%,-4.400%,-3.100%,-0.500%,-1.300%,0.200%,4.800%,-0.300%,-0.200%,-2.900%,-5.00%,-1.800%,-3.600%,8.200%,4.00%,4.500%,10.800%,0.400%,1.300%,-0.600%,-3.300%,0.900%,-0.100%,3.500%,3.200%,5.400%,11.00%,4.200%,7.600%,-0.600%,-0.500%,-7.00%,-13.900%,2.400%,-3.300%,7.200%,-2.800%,-8.00%,-10.800%,-11.200%,5.300%,-3.200%,0.800%,0.800%,-1.300%,-1.600%,1.100%,5.100%,2.700%,16.300%,12.400%,-2.200%,-1.400%,-2.800%,0.900%,9.500%,11.500%,9.300%,23.800%,17.700%,-5.700%,-12.900%,-18.800%,-2.600%,16.400%,18.400%,15.700%,4.400%,9.400%,13.600%,2.800%,11.800%,8.500%,11.200%,12.600%,-1.900%,-2.100%,-7.500%,-2.900%,0.200%,6.700%,12.600%
NC,N/A,N/A,N/A,N/A,-5.100%,-10.900%,-7.200%,-4.200%,-2.700%,1.700%,1.200%,-3.00%,-7.100%,-8.600%,-9.900%,0%,-2.900%,0.600%,5.100%,1.700%,17.300%,5.600%,1.700%,-3.100%,-2.900%,-1.200%,1.800%,6.400%,-1.600%,6.400%,9.300%,1.600%,0.600%,-1.100%,-0.900%,-4.400%,-6.00%,-3.900%,-8.300%,-1.900%,-2.300%,-0.500%,-5.500%,-4.400%,-1.900%,-2.300%,2.100%,-1.400%,-0.500%,-1.400%,1.900%,8.300%,8.100%,12.800%,9.00%,2.800%,-4.400%,-2.00%,0.400%,2.500%,9.600%,6.800%,15.700%,12.600%,-9.500%,-7.400%,-11.500%,-5.700%,4.800%,2.900%,0%,2.700%,19.600%,22.00%,17.800%,20.100%,9.500%,10.400%,9.00%,-9.100%,-11.500%,-12.100%,-8.700%,2.00%,14.800%,14.200%
SC,N/A,N/A,N/A,N/A,-14.100%,-9.400%,5.600%,0.600%,19.700%,25.500%,17.500%,11.700%,-5.200%,-14.500%,6.500%,17.100%,-6.00%,-17.600%,-24.600%,-16.800%,2.500%,24.900%,14.100%,-0.100%,-8.300%,-9.500%,8.100%,-6.600%,5.600%,-5.00%,-3.800%,15.200%,0%,5.00%,0.500%,-2.700%,-17.500%,-11.100%,-14.700%,-17.00%,-2.00%,-1.200%,-0.400%,2.500%,-1.400%,0.800%,2.200%,-1.900%,-2.600%,-1.400%,-1.00%,5.800%,11.600%,12.100%,13.100%,4.900%,1.500%,3.00%,1.400%,8.800%,6.600%,10.700%,21.200%,-1.600%,-5.600%,-18.00%,-16.800%,1.200%,9.100%,11.500%,7.400%,8.500%,8.200%,11.900%,7.100%,27.100%,11.800%,21.200%,18.400%,-15.400%,6.400%,0.200%,-0.500%,6.900%,4.600%,7.200%
VA,N/A,N/A,N/A,N/A,-3.400%,-2.400%,-0.200%,-6.700%,4.100%,3.500%,1.400%,2.00%,-5.200%,-8.800%,-5.600%,-2.600%,-2.100%,7.00%,6.700%,5.300%,4.200%,-6.900%,-2.300%,-3.200%,3.800%,7.600%,1.800%,4.400%,3.900%,3.800%,2.700%,7.00%,5.300%,6.00%,7.500%,0.100%,-7.00%,-4.00%,0.500%,-4.200%,1.500%,-3.100%,-3.500%,6.200%,0.700%,-0.300%,-2.400%,-13.900%,-2.00%,1.300%,0.400%,5.200%,1.700%,7.200%,6.300%,6.800%,11.800%,13.500%,13.200%,9.300%,1.800%,2.400%,13.400%,9.200%,-12.500%,-19.600%,-18.800%,-4.00%,12.100%,18.500%,9.300%,4.900%,13.700%,20.300%,12.500%,13.500%,3.600%,8.700%,3.600%,-6.200%,1.200%,-6.00%,6.300%,7.900%,11.500%,11.200%
WV,N/A,N/A,N/A,N/A,-3.900%,-10.0%,13.100%,-3.400%,-2.900%,21.700%,-3.700%,-0.300%,-3.900%,-30.900%,-14.900%,8.00%,-22.900%,10.700%,5.700%,-8.100%,21.800%,16.800%,5.500%,-0.800%,21.500%,-2.00%,-8.100%,25.200%,-12.100%,-11.400%,7.900%,-11.900%,6.700%,7.00%,-12.200%,-10.700%,-23.500%,-3.900%,-2.500%,-3.00%,-11.200%,-2.900%,-1.100%,1.700%,23.600%,-0.200%,2.400%,3.200%,4.100%,-4.500%,0.200%,7.300%,-2.400%,8.500%,2.00%,-0.200%,0.800%,13.600%,16.100%,7.900%,36.700%,10.100%,9.100%,12.100%,-15.800%,-17.00%,-3.700%,-2.700%,-11.400%,22.100%,-2.00%,-6.00%,19.700%,8.800%,19.500%,25.100%,16.900%,19.00%,18.500%,17.900%,8.900%,0%,-5.700%,-7.400%,3.600%,2.900%
ND,N/A,N/A,N/A,N/A,-0.900%,2.900%,6.900%,-1.600%,17.00%,15.100%,6.00%,8.400%,-17.00%,-15.700%,-18.900%,-10.800%,-1.100%,15.500%,14.900%,3.00%,8.500%,2.700%,2.400%,-0.700%,0%,-0.700%,-2.00%,7.900%,-5.00%,-6.900%,19.900%,13.00%,14.300%,6.600%,-7.500%,1.700%,11.400%,6.400%,1.800%,0.400%,-8.300%,-5.00%,10.300%,5.600%,11.300%,-1.900%,-13.00%,-2.900%,0.900%,3.600%,17.200%,11.800%,-0.400%,15.400%,-3.00%,-6.400%,6.100%,-2.600%,19.00%,-10.0%,-3.200%,1.900%,11.00%,19.600%,-2.400%,-1.600%,-20.800%,-9.300%,6.100%,-6.700%,-4.600%,-4.800%,-16.900%,-6.200%,3.500%,10.100%,26.600%,39.00%,22.500%,34.200%,18.700%,0.600%,15.600%,-4.300%,5.00%,9.500%
SD,N/A,N/A,N/A,N/A,8.800%,16.500%,16.800%,-2.700%,7.100%,10.800%,-11.800%,4.800%,-16.900%,-20.200%,-20.200%,-3.400%,-2.500%,0%,20.100%,11.500%,24.200%,15.00%,14.700%,-11.900%,-6.00%,5.300%,-16.500%,14.00%,-0.300%,-2.600%,16.200%,-0.500%,6.400%,-3.300%,-3.700%,-1.00%,4.800%,2.800%,-11.700%,-1.500%,-12.400%,-3.800%,10.300%,13.500%,6.00%,-7.800%,6.600%,-14.400%,1.200%,7.900%,-4.300%,2.700%,1.700%,4.900%,17.500%,28.600%,10.200%,5.100%,11.600%,-7.200%,-2.700%,26.200%,1.800%,13.800%,4.00%,-18.900%,-24.800%,-20.100%,-1.900%,0.400%,13.800%,16.900%,1.700%,8.500%,4.100%,-1.100%,9.700%,13.300%,15.900%,18.800%,17.200%,5.00%,8.600%,13.200%,8.00%,21.100%
NE,N/A,N/A,N/A,N/A,-1.400%,3.500%,-8.300%,-6.400%,-4.500%,-4.800%,-0.900%,-1.00%,-4.00%,-3.500%,-1.200%,0%,0%,6.500%,3.700%,3.300%,7.400%,-5.100%,4.300%,-5.500%,-1.700%,14.900%,8.200%,8.700%,-0.500%,-1.600%,5.00%,12.600%,9.500%,-0.600%,-5.700%,-10.600%,-16.300%,-9.700%,-13.200%,-8.800%,1.400%,-1.700%,-3.700%,-0.500%,2.200%,1.600%,4.700%,9.700%,4.400%,1.300%,5.100%,0.600%,4.700%,9.700%,9.300%,3.700%,-1.00%,-1.700%,5.100%,2.100%,5.100%,3.700%,13.600%,8.00%,-11.600%,-17.400%,-19.200%,-4.300%,16.800%,15.600%,12.200%,-3.800%,5.00%,24.500%,3.500%,17.700%,13.00%,8.100%,15.200%,4.700%,-0.800%,-0.500%,11.00%,8.800%,9.500%,13.100%
KS,N/A,N/A,N/A,N/A,-1.800%,0.800%,-1.400%,6.400%,-2.600%,-2.400%,-4.400%,-7.900%,0.200%,-1.300%,-1.700%,6.200%,0.600%,4.00%,-7.500%,5.100%,1.00%,3.600%,18.800%,-10.0%,3.100%,5.200%,1.900%,5.100%,-0.600%,7.300%,7.100%,-0.900%,6.500%,-6.400%,-7.200%,-5.800%,-4.100%,-11.200%,-15.00%,-2.00%,-1.00%,0.200%,1.400%,0%,-3.500%,-1.800%,5.300%,3.600%,2.200%,-0.100%,5.00%,3.300%,8.800%,19.600%,3.700%,5.900%,1.100%,-2.700%,7.500%,9.300%,13.800%,7.900%,20.200%,14.900%,1.400%,-11.800%,-19.900%,-7.500%,-9.900%,-2.300%,3.300%,-12.600%,3.900%,24.600%,12.200%,31.700%,16.00%,6.100%,13.600%,-9.700%,5.700%,5.100%,12.300%,17.900%,3.100%,20.500%
MN,N/A,N/A,N/A,N/A,11.500%,9.900%,6.300%,7.400%,-23.900%,6.800%,4.900%,-6.900%,38.300%,-2.600%,-5.500%,3.200%,0.400%,0.300%,4.100%,0.300%,1.200%,2.400%,-3.300%,-7.500%,-0.700%,4.500%,6.100%,4.400%,3.00%,1.100%,-2.100%,10.100%,2.600%,-3.400%,5.900%,-2.900%,6.400%,7.400%,-2.200%,3.600%,3.600%,1.500%,1.100%,5.500%,-0.600%,-8.800%,0.500%,-4.00%,6.600%,5.500%,-2.00%,-6.900%,-3.400%,8.200%,4.800%,9.800%,2.400%,-2.00%,2.700%,1.200%,1.600%,-1.600%,8.700%,3.800%,3.100%,-5.600%,-13.500%,-4.700%,-10.900%,-0.300%,3.400%,15.200%,19.00%,36.400%,15.700%,8.300%,5.200%,1.00%,14.700%,0.100%,8.800%,0.600%,0.900%,3.200%,3.700%,3.600%
IA,N/A,N/A,N/A,N/A,1.400%,5.400%,-1.200%,3.200%,8.600%,2.400%,-3.00%,-12.700%,-12.400%,-6.800%,-8.900%,2.900%,-7.00%,-0.400%,19.900%,1.500%,16.900%,10.0%,-5.900%,-4.900%,-2.300%,9.600%,1.600%,12.800%,1.100%,-2.00%,7.700%,0.300%,-3.700%,-3.500%,-3.500%,-6.400%,1.400%,0.800%,-1.400%,7.300%,-0.200%,-6.400%,-5.300%,-3.100%,-1.400%,2.900%,1.900%,-1.200%,1.100%,1.100%,3.600%,3.00%,6.00%,7.00%,12.200%,4.400%,-0.100%,4.300%,6.00%,3.500%,6.100%,-6.00%,3.800%,14.400%,-7.300%,-3.200%,-12.800%,-15.00%,5.400%,0.200%,0.300%,-0.900%,5.800%,23.200%,13.400%,22.300%,18.00%,16.800%,10.400%,8.500%,-3.00%,-6.100%,4.100%,1.600%,10.700%,15.900%
MO,N/A,N/A,N/A,N/A,0.200%,1.600%,-6.00%,-11.800%,4.500%,-1.400%,0.700%,2.00%,-8.700%,-3.800%,-5.400%,-2.800%,-2.500%,-1.500%,-5.800%,-1.700%,10.200%,5.200%,10.200%,-1.00%,-0.500%,3.900%,2.100%,9.200%,3.400%,2.100%,3.800%,2.900%,2.700%,2.800%,3.900%,-3.300%,-6.400%,-4.400%,-6.700%,-11.200%,-3.400%,-2.700%,-0.300%,8.700%,3.00%,-0.800%,-2.200%,-2.400%,0.800%,1.00%,4.200%,8.500%,5.200%,10.200%,6.300%,-0.500%,2.300%,1.300%,3.00%,6.300%,4.100%,4.700%,14.300%,9.900%,-13.900%,-12.600%,-14.500%,-6.200%,19.200%,7.700%,0.900%,-1.500%,2.900%,15.100%,13.100%,12.900%,11.00%,9.700%,11.200%,4.200%,-1.200%,-2.900%,1.800%,3.400%,9.00%,11.800%
AR,N/A,N/A,N/A,N/A,-6.100%,3.800%,-11.00%,-2.900%,3.700%,2.400%,-1.300%,-13.00%,-9.00%,-6.500%,-8.300%,1.700%,-3.800%,0.700%,12.800%,-13.700%,2.200%,-0.700%,-2.600%,3.200%,-4.200%,5.800%,7.700%,12.700%,7.100%,-4.900%,-2.600%,-4.300%,0.600%,15.800%,6.100%,1.00%,2.900%,-8.500%,-2.200%,2.200%,0.500%,-7.300%,-12.200%,-7.800%,-6.600%,1.700%,4.100%,-1.00%,1.800%,-1.00%,3.600%,11.300%,11.800%,19.500%,11.400%,8.300%,3.800%,-1.800%,6.300%,-0.200%,10.300%,8.100%,8.00%,9.800%,-17.900%,-12.300%,-11.500%,-11.400%,8.400%,2.00%,6.300%,7.400%,11.900%,19.100%,14.700%,23.700%,16.300%,23.200%,7.600%,-4.600%,0.400%,-3.800%,1.800%,10.0%,9.700%,13.300%
LA,N/A,N/A,N/A,N/A,-11.500%,-4.200%,5.100%,-9.800%,4.100%,0.800%,-2.800%,7.300%,-5.100%,-9.200%,-4.500%,-5.100%,-6.900%,4.400%,-3.700%,1.700%,7.00%,2.900%,11.500%,-6.800%,0.900%,-0.800%,6.100%,7.800%,1.100%,5.300%,-0.600%,6.600%,3.600%,-2.800%,4.500%,-6.100%,-5.500%,-6.500%,-11.300%,-9.00%,0%,-2.800%,-5.100%,0.800%,-9.100%,4.900%,2.700%,-4.800%,4.100%,-2.600%,5.900%,13.400%,13.300%,16.600%,11.00%,8.400%,-0.600%,2.300%,6.400%,4.300%,8.800%,6.900%,22.600%,9.600%,-3.300%,-7.800%,-17.900%,-3.00%,-1.500%,11.200%,5.600%,2.300%,11.100%,16.200%,1.100%,21.00%,15.300%,11.100%,27.600%,-11.700%,1.500%,-5.900%,2.800%,14.100%,7.900%,9.900%
OK,N/A,N/A,N/A,N/A,-0.300%,0.500%,-6.400%,-6.500%,0.200%,-0.200%,-1.400%,-3.00%,-9.900%,-3.700%,-1.100%,0%,4.400%,-1.300%,-4.700%,11.800%,5.400%,2.800%,11.400%,-4.800%,-0.500%,6.500%,1.400%,3.800%,1.100%,-5.200%,-0.500%,-0.400%,1.200%,0.800%,3.100%,-5.100%,-10.700%,-12.00%,-13.200%,-8.500%,1.600%,6.400%,0.500%,5.400%,1.400%,0%,1.700%,-1.400%,0.500%,0.700%,5.600%,7.100%,7.800%,14.100%,9.300%,5.500%,2.800%,2.00%,4.200%,6.600%,3.500%,5.500%,19.200%,5.800%,-9.900%,-15.00%,-17.900%,-1.900%,14.500%,21.500%,5.600%,-8.00%,6.300%,9.400%,4.00%,18.800%,18.100%,12.700%,22.300%,11.200%,2.400%,3.400%,12.900%,6.900%,7.800%,11.500%
