State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2
NY,N/A,N/A,N/A,N/A,-5.700%,-0.800%,-0.500%,-3.200%,7.300%,-0.300%,0.100%,0.900%,-4.800%,-5.300%,-4.400%,-0.900%,-1.500%,4.00%,6.400%,1.800%,7.200%,-0.800%,0.300%,-3.100%,0.600%,7.200%,-4.100%,2.500%,-0.800%,0.100%,8.800%,3.200%,14.200%,13.900%,-10.200%,-2.700%,-14.500%,-20.700%,3.100%,-7.700%,-6.200%,2.800%,-2.200%,5.00%,6.200%,1.500%,1.400%,-5.500%,-2.00%,-0.900%,3.300%,6.300%,7.100%,15.00%,11.100%,4.00%,-2.900%,-2.600%,2.100%,5.300%,9.800%,2.800%,17.00%,8.500%,-13.700%,-8.800%,-13.900%,0.300%,13.900%,7.700%,2.900%,3.800%,13.200%,29.200%,11.400%,9.100%,2.00%,-0.900%,1.200%,-15.600%,-20.700%,-14.300%,2.100%,13.700%,22.600%,15.200%
NJ,N/A,N/A,N/A,N/A,-6.600%,-2.200%,-2.800%,-2.300%,4.200%,0.500%,-0.500%,5.100%,0.500%,-3.800%,-3.500%,0.700%,0.600%,8.400%,5.800%,1.400%,7.00%,-6.00%,-10.0%,-10.700%,11.800%,-11.100%,-6.400%,2.200%,-18.300%,20.0%,28.100%,7.200%,14.500%,1.700%,4.800%,0.800%,-9.900%,-1.800%,-5.900%,-6.200%,-1.00%,-7.800%,-14.00%,-0.600%,-5.600%,2.00%,6.400%,-3.200%,6.700%,2.900%,2.900%,14.300%,13.600%,15.700%,11.300%,0.700%,-5.500%,-6.300%,-3.700%,-0.700%,4.400%,8.900%,17.00%,21.500%,-24.100%,-22.500%,-24.600%,-21.800%,24.400%,24.800%,24.200%,15.100%,20.600%,20.600%,11.00%,17.600%,4.500%,1.400%,2.400%,-17.400%,-20.700%,-18.600%,-0.200%,8.600%,16.700%,32.00%
PA,N/A,N/A,N/A,N/A,-2.00%,0%,-0.100%,0.500%,3.900%,-1.200%,-1.800%,-1.200%,-3.600%,-5.400%,-5.00%,-1.700%,-3.100%,0.300%,6.300%,0%,4.600%,5.200%,-2.200%,-1.300%,5.900%,1.00%,1.600%,1.500%,-3.600%,3.100%,4.500%,4.100%,2.500%,1.800%,5.800%,-0.200%,-3.200%,-1.900%,-5.400%,-5.100%,1.700%,-0.900%,-1.00%,5.200%,-3.300%,-4.400%,-3.500%,-5.800%,-1.00%,-1.300%,-0.300%,3.200%,3.100%,9.300%,5.900%,3.200%,-1.900%,-2.600%,-1.300%,-2.00%,4.500%,6.600%,18.00%,12.700%,2.400%,-0.300%,-5.800%,1.800%,8.200%,7.100%,4.700%,6.100%,13.500%,17.600%,15.200%,16.900%,7.00%,11.500%,9.500%,-3.00%,-1.900%,-7.200%,-3.800%,0.300%,7.500%,14.600%
AZ,N/A,N/A,N/A,N/A,17.100%,-5.500%,-3.900%,-11.500%,-7.500%,-33.300%,5.800%,-26.200%,-13.100%,21.600%,-11.300%,42.600%,21.400%,0%,-1.700%,-25.800%,-17.500%,-2.500%,-9.600%,21.500%,6.700%,3.700%,-7.700%,5.200%,10.400%,16.100%,19.900%,4.500%,2.900%,6.700%,3.00%,-5.00%,-6.800%,-11.00%,-11.00%,-1.200%,0.500%,8.100%,17.600%,6.00%,5.100%,3.900%,4.200%,1.100%,14.500%,14.900%,4.500%,-0.600%,-13.300%,-14.100%,-12.800%,-6.900%,-5.800%,2.500%,5.300%,4.100%,-0.200%,11.200%,31.500%,20.800%,7.400%,-11.100%,-27.400%,-12.00%,1.600%,0.300%,5.200%,-1.300%,9.300%,23.200%,17.700%,21.600%,0.400%,8.600%,13.600%,-7.100%,-9.500%,-10.900%,-4.500%,8.900%,22.500%,17.400%
CO,N/A,N/A,N/A,N/A,-0.900%,-3.100%,-9.600%,-14.400%,-3.100%,-0.600%,3.500%,1.00%,-5.700%,-10.400%,-9.200%,-1.500%,2.900%,8.300%,-2.700%,-52.200%,11.700%,6.200%,20.200%,148.400%,7.100%,6.00%,8.800%,4.800%,-0.600%,2.600%,4.700%,-5.400%,-1.600%,0.600%,-2.500%,1.700%,-4.600%,-10.600%,-19.300%,-21.00%,-16.100%,-7.900%,4.500%,26.700%,22.400%,8.00%,5.100%,-0.900%,-2.700%,5.400%,4.300%,-15.300%,-0.300%,0.100%,0%,12.100%,0.100%,6.200%,4.500%,6.900%,10.200%,6.00%,19.100%,7.600%,-9.00%,-16.500%,-21.200%,-7.300%,4.600%,6.900%,1.800%,4.00%,14.200%,21.100%,16.900%,12.100%,3.900%,6.700%,13.100%,5.00%,4.500%,4.600%,6.600%,6.700%,10.300%,11.100%
ID,N/A,N/A,N/A,N/A,-10.800%,-16.600%,3.600%,28.600%,11.800%,22.500%,7.400%,-7.900%,1.700%,-14.700%,-17.100%,-2.400%,-6.600%,18.800%,21.200%,15.200%,13.200%,-4.200%,3.100%,-5.300%,-13.900%,-6.100%,-21.200%,-2.400%,-0.100%,12.800%,31.00%,-4.400%,0.200%,-4.600%,2.800%,0%,6.800%,0.700%,-10.600%,5.100%,2.500%,1.900%,4.600%,3.300%,3.00%,1.500%,0.600%,7.00%,6.500%,0%,-4.00%,-1.600%,1.600%,12.700%,11.200%,6.200%,6.300%,2.800%,-1.700%,5.00%,3.100%,-0.800%,12.200%,-3.900%,-23.700%,-21.500%,-29.800%,-14.300%,16.300%,10.800%,22.800%,4.500%,3.400%,13.900%,15.400%,9.800%,12.900%,8.100%,6.900%,14.100%,-21.400%,-24.00%,-26.600%,-14.600%,14.700%,21.600%
MT,N/A,N/A,N/A,N/A,-23.900%,-26.600%,-0.300%,-10.900%,25.300%,7.100%,-2.00%,8.300%,-4.400%,-8.300%,-7.400%,20.100%,-3.900%,-0.900%,5.500%,-18.400%,-5.200%,8.500%,3.200%,8.700%,-2.100%,-9.900%,-0.400%,-11.200%,-2.600%,6.800%,-7.300%,-1.600%,10.200%,13.600%,4.00%,13.700%,-2.600%,-18.00%,0%,-12.400%,-1.800%,2.00%,-11.500%,4.900%,3.300%,5.300%,14.800%,1.800%,4.800%,3.300%,11.100%,6.800%,3.00%,2.200%,3.900%,0.700%,4.200%,9.700%,3.500%,6.600%,8.00%,4.00%,24.00%,12.900%,2.700%,-5.100%,-25.00%,-11.400%,-15.400%,-8.300%,-3.400%,-9.600%,10.200%,10.100%,22.00%,30.400%,15.100%,13.400%,6.00%,-0.100%,-5.00%,-7.300%,3.600%,-2.700%,11.500%,15.700%
NM,N/A,N/A,N/A,N/A,16.900%,1.800%,-5.400%,-13.100%,-3.700%,13.600%,3.800%,8.800%,-14.600%,-29.200%,-5.00%,-8.100%,13.200%,11.900%,6.400%,19.600%,7.500%,9.700%,-2.300%,-10.700%,-7.00%,18.700%,19.00%,-1.800%,19.900%,-7.00%,13.00%,36.700%,-11.700%,-1.300%,-9.100%,-19.900%,0.900%,-16.400%,-16.300%,-10.800%,-10.500%,7.00%,-2.200%,5.800%,6.600%,1.500%,3.200%,3.500%,-0.100%,-3.200%,-0.500%,1.00%,4.200%,-2.300%,2.200%,-1.00%,-4.800%,7.500%,7.00%,2.400%,8.400%,20.500%,27.600%,13.400%,-11.400%,-29.00%,-26.900%,-6.400%,12.500%,11.800%,-6.100%,-9.800%,0.500%,11.900%,17.900%,14.300%,17.00%,15.00%,11.200%,8.300%,3.900%,5.500%,9.600%,7.400%,7.500%,6.500%
NV,N/A,N/A,N/A,N/A,5.100%,12.300%,10.200%,12.200%,-4.900%,-1.300%,14.00%,-0.500%,1.800%,-9.100%,-22.00%,-10.900%,-4.300%,2.00%,9.200%,5.400%,0.900%,-5.800%,4.400%,0%,12.700%,14.400%,-10.300%,4.400%,-11.100%,6.700%,10.400%,2.600%,12.400%,4.800%,20.400%,4.100%,0.100%,-6.600%,-11.900%,-4.400%,-8.700%,-0.400%,0%,3.00%,6.400%,6.400%,4.500%,4.900%,8.400%,-6.700%,-2.800%,-10.100%,-6.400%,11.200%,1.900%,11.500%,-0.600%,-6.00%,4.900%,3.200%,13.00%,26.300%,30.700%,35.00%,-4.900%,-16.800%,-23.400%,-13.100%,14.300%,6.100%,1.700%,-7.700%,-11.700%,10.500%,6.900%,-6.00%,9.200%,-4.200%,-8.300%,5.00%,-9.900%,3.900%,24.00%,24.400%,24.500%,9.900%
UT,N/A,N/A,N/A,N/A,-2.400%,6.400%,-1.00%,-17.600%,-6.900%,0.800%,18.100%,28.500%,-32.700%,-33.300%,-22.700%,-14.200%,-29.300%,-4.700%,-24.700%,-30.200%,53.00%,6.200%,25.200%,41.700%,59.300%,71.300%,46.400%,20.500%,0.600%,-9.500%,-7.900%,-6.900%,-1.900%,0.800%,-10.800%,-10.700%,-8.400%,-15.100%,-6.700%,-1.500%,-4.200%,6.600%,4.300%,12.100%,7.400%,4.300%,4.700%,-6.300%,2.800%,-0.400%,-0.600%,9.900%,5.900%,10.500%,4.800%,1.100%,1.200%,3.200%,9.800%,11.900%,5.800%,9.700%,3.700%,8.600%,0.200%,-10.100%,-8.200%,-3.600%,3.700%,6.400%,4.600%,1.300%,10.100%,16.400%,6.900%,2.400%,-1.900%,13.00%,18.00%,12.600%,5.400%,-11.00%,3.300%,9.100%,14.200%,14.400%
